DATE,CLOSE
21-JAN-2020,18.65
20-JAN-2020,18.8
17-JAN-2020,18.65
16-JAN-2020,18.8
15-JAN-2020,18.55
14-JAN-2020,18.45
13-JAN-2020,18.2
10-JAN-2020,18.4
09-JAN-2020,18.25
08-JAN-2020,18.1
07-JAN-2020,18.6
06-JAN-2020,18.45
03-JAN-2020,18.9
02-JAN-2020,18.95
01-JAN-2020,18.8
31-DEC-2019,18.85
30-DEC-2019,19.05
27-DEC-2019,19.2
26-DEC-2019,17.75
24-DEC-2019,18.7
23-DEC-2019,18.85
20-DEC-2019,18.8
19-DEC-2019,18.6
18-DEC-2019,18.8
17-DEC-2019,19.15
16-DEC-2019,19.2
13-DEC-2019,19.35
12-DEC-2019,19.1
11-DEC-2019,19.25
10-DEC-2019,20.45
09-DEC-2019,21.55
06-DEC-2019,22.3
05-DEC-2019,22.85
04-DEC-2019,23.05
03-DEC-2019,22.75
02-DEC-2019,23.4
29-NOV-2019,23.85
28-NOV-2019,23.85
27-NOV-2019,23.15
26-NOV-2019,23.3
25-NOV-2019,23.85
22-NOV-2019,24.05
21-NOV-2019,24.25
20-NOV-2019,24.85
19-NOV-2019,25.8
18-NOV-2019,25.2
15-NOV-2019,25.6
14-NOV-2019,25.55
13-NOV-2019,25.6
11-NOV-2019,25.95
08-NOV-2019,25.95
07-NOV-2019,27.0
06-NOV-2019,26.8
05-NOV-2019,27.3
04-NOV-2019,27.55
01-NOV-2019,27.3
31-OCT-2019,26.9
30-OCT-2019,27.05
29-OCT-2019,25.75
27-OCT-2019,25.7
25-OCT-2019,25.25
24-OCT-2019,25.8
23-OCT-2019,26.05
22-OCT-2019,26.05
18-OCT-2019,25.7
17-OCT-2019,24.8
16-OCT-2019,24.55
15-OCT-2019,24.9
14-OCT-2019,25.6
11-OCT-2019,25.95
10-OCT-2019,26.55
09-OCT-2019,26.55
07-OCT-2019,26.6
04-OCT-2019,27.2
03-OCT-2019,27.6
01-OCT-2019,27.8
30-SEP-2019,28.7
27-SEP-2019,29.6
26-SEP-2019,30.25
25-SEP-2019,29.9
24-SEP-2019,31.05
23-SEP-2019,31.45
20-SEP-2019,30.7
19-SEP-2019,30.35
18-SEP-2019,31.65
17-SEP-2019,32.55
16-SEP-2019,33.35
13-SEP-2019,33.45
12-SEP-2019,33.55
11-SEP-2019,33.5
09-SEP-2019,33.15
06-SEP-2019,33.0
05-SEP-2019,33.35
04-SEP-2019,33.35
03-SEP-2019,33.2
30-AUG-2019,35.3
29-AUG-2019,33.8
28-AUG-2019,34.85
27-AUG-2019,35.35
26-AUG-2019,33.85
23-AUG-2019,31.35
22-AUG-2019,30.7
21-AUG-2019,32.0
20-AUG-2019,34.85
19-AUG-2019,35.55
16-AUG-2019,36.15
14-AUG-2019,36.3
13-AUG-2019,36.45
09-AUG-2019,36.9
08-AUG-2019,36.9
07-AUG-2019,36.7
06-AUG-2019,37.2
05-AUG-2019,36.75
02-AUG-2019,37.7
01-AUG-2019,37.6
31-JUL-2019,37.95
30-JUL-2019,39.05
29-JUL-2019,39.75
26-JUL-2019,40.3
25-JUL-2019,40.35
24-JUL-2019,39.85
23-JUL-2019,40.65
22-JUL-2019,41.15
19-JUL-2019,41.0
18-JUL-2019,41.85
17-JUL-2019,43.5
16-JUL-2019,44.35
15-JUL-2019,43.55
12-JUL-2019,47.15
11-JUL-2019,47.7
10-JUL-2019,47.6
09-JUL-2019,48.35
08-JUL-2019,47.05
05-JUL-2019,48.55
