DATE,CLOSE
21-JAN-2020,51.7
20-JAN-2020,51.8
17-JAN-2020,53.05
16-JAN-2020,51.4
15-JAN-2020,51.85
14-JAN-2020,51.3
13-JAN-2020,49.05
10-JAN-2020,50.8
09-JAN-2020,49.2
08-JAN-2020,47.35
07-JAN-2020,48.15
06-JAN-2020,47.8
03-JAN-2020,50.5
02-JAN-2020,49.9
01-JAN-2020,47.3
31-DEC-2019,49.05
30-DEC-2019,46.95
27-DEC-2019,46.85
26-DEC-2019,46.7
24-DEC-2019,47.95
23-DEC-2019,50.1
20-DEC-2019,52.3
19-DEC-2019,47.55
18-DEC-2019,47.9
17-DEC-2019,48.6
16-DEC-2019,48.5
13-DEC-2019,48.5
12-DEC-2019,47.5
11-DEC-2019,47.5
10-DEC-2019,47.75
09-DEC-2019,49.25
06-DEC-2019,49.85
05-DEC-2019,50.65
04-DEC-2019,51.25
03-DEC-2019,51.25
02-DEC-2019,51.6
29-NOV-2019,49.8
28-NOV-2019,50.0
27-NOV-2019,50.35
26-NOV-2019,51.55
25-NOV-2019,52.3
22-NOV-2019,52.1
21-NOV-2019,52.0
20-NOV-2019,52.15
19-NOV-2019,53.25
18-NOV-2019,53.0
15-NOV-2019,55.4
14-NOV-2019,54.8
13-NOV-2019,52.35
11-NOV-2019,51.85
08-NOV-2019,52.15
07-NOV-2019,53.05
06-NOV-2019,51.15
05-NOV-2019,52.95
04-NOV-2019,52.55
01-NOV-2019,53.0
31-OCT-2019,52.35
30-OCT-2019,54.35
29-OCT-2019,53.0
27-OCT-2019,54.6
25-OCT-2019,52.2
24-OCT-2019,53.2
23-OCT-2019,53.2
22-OCT-2019,53.4
18-OCT-2019,52.65
17-OCT-2019,53.05
16-OCT-2019,54.35
15-OCT-2019,53.3
14-OCT-2019,50.8
11-OCT-2019,52.2
10-OCT-2019,54.65
09-OCT-2019,56.1
07-OCT-2019,53.45
04-OCT-2019,50.95
03-OCT-2019,51.8
01-OCT-2019,51.75
30-SEP-2019,54.4
27-SEP-2019,55.35
26-SEP-2019,58.25
25-SEP-2019,60.8
24-SEP-2019,61.85
23-SEP-2019,64.05
20-SEP-2019,67.4
19-SEP-2019,66.85
18-SEP-2019,70.35
17-SEP-2019,70.75
16-SEP-2019,67.55
13-SEP-2019,64.35
12-SEP-2019,65.1
11-SEP-2019,67.4
09-SEP-2019,64.2
06-SEP-2019,61.15
05-SEP-2019,58.25
04-SEP-2019,55.5
03-SEP-2019,52.9
30-AUG-2019,50.65
29-AUG-2019,49.0
28-AUG-2019,48.5
27-AUG-2019,48.15
26-AUG-2019,45.9
23-AUG-2019,45.9
22-AUG-2019,44.55
21-AUG-2019,46.65
20-AUG-2019,48.95
19-AUG-2019,47.6
16-AUG-2019,48.7
14-AUG-2019,48.35
13-AUG-2019,50.5
09-AUG-2019,51.35
08-AUG-2019,53.7
07-AUG-2019,53.0
06-AUG-2019,51.05
05-AUG-2019,53.5
02-AUG-2019,56.3
01-AUG-2019,53.65
31-JUL-2019,51.2
30-JUL-2019,48.8
29-JUL-2019,50.7
26-JUL-2019,53.25
25-JUL-2019,55.55
24-JUL-2019,54.55
23-JUL-2019,55.95
22-JUL-2019,56.3
19-JUL-2019,58.9
18-JUL-2019,61.95
17-JUL-2019,63.4
16-JUL-2019,66.7
15-JUL-2019,70.2
12-JUL-2019,66.9
11-JUL-2019,70.4
10-JUL-2019,74.1
09-JUL-2019,78.0
08-JUL-2019,82.1
05-JUL-2019,86.4
04-JUL-2019,90.9
03-JUL-2019,95.65
02-JUL-2019,87.55
01-JUL-2019,79.6
28-JUN-2019,72.4
27-JUN-2019,60.35
26-JUN-2019,50.3
25-JUN-2019,48.4
24-JUN-2019,48.65
21-JUN-2019,49.3
20-JUN-2019,48.45
19-JUN-2019,48.65
18-JUN-2019,49.5
17-JUN-2019,51.1
14-JUN-2019,52.9
13-JUN-2019,54.95
12-JUN-2019,54.6
11-JUN-2019,52.75
10-JUN-2019,55.0
07-JUN-2019,58.6
06-JUN-2019,59.0
04-JUN-2019,62.25
03-JUN-2019,59.45
31-MAY-2019,61.95
30-MAY-2019,62.4
29-MAY-2019,63.35
28-MAY-2019,62.95
27-MAY-2019,61.85
24-MAY-2019,62.25
23-MAY-2019,61.1
22-MAY-2019,63.05
21-MAY-2019,62.5
20-MAY-2019,63.9
17-MAY-2019,60.75
16-MAY-2019,60.9
15-MAY-2019,65.1
14-MAY-2019,67.35
13-MAY-2019,66.15
10-MAY-2019,67.6
09-MAY-2019,66.85
08-MAY-2019,67.2
07-MAY-2019,67.7
06-MAY-2019,71.5
03-MAY-2019,72.95
02-MAY-2019,71.65
30-APR-2019,71.75
26-APR-2019,74.65
25-APR-2019,74.8
24-APR-2019,74.8
23-APR-2019,77.55
22-APR-2019,74.6
18-APR-2019,76.5
16-APR-2019,77.55
15-APR-2019,76.65
12-APR-2019,75.9
11-APR-2019,76.2
10-APR-2019,78.55
09-APR-2019,76.9
08-APR-2019,79.4
05-APR-2019,79.9
04-APR-2019,80.5
03-APR-2019,84.15
02-APR-2019,83.85
01-APR-2019,83.6
29-MAR-2019,79.65
28-MAR-2019,75.9
27-MAR-2019,74.3
26-MAR-2019,74.6
25-MAR-2019,74.25
22-MAR-2019,75.85
20-MAR-2019,76.1
19-MAR-2019,75.8
18-MAR-2019,74.5
15-MAR-2019,75.1
14-MAR-2019,74.9
13-MAR-2019,75.5
12-MAR-2019,77.45
11-MAR-2019,77.5
08-MAR-2019,76.5
07-MAR-2019,77.65
06-MAR-2019,78.85
05-MAR-2019,77.95
01-MAR-2019,75.35
28-FEB-2019,73.5
27-FEB-2019,74.15
26-FEB-2019,74.85
25-FEB-2019,76.45
22-FEB-2019,77.75
21-FEB-2019,75.3
20-FEB-2019,76.05
19-FEB-2019,75.45
18-FEB-2019,78.3
15-FEB-2019,79.0
14-FEB-2019,80.0
13-FEB-2019,83.0
12-FEB-2019,79.1
11-FEB-2019,80.9
08-FEB-2019,85.0
07-FEB-2019,84.0
06-FEB-2019,87.35
05-FEB-2019,91.8
04-FEB-2019,95.1
01-FEB-2019,96.75
31-JAN-2019,98.15
30-JAN-2019,96.75
29-JAN-2019,94.8
28-JAN-2019,97.5
25-JAN-2019,101.15
24-JAN-2019,104.35
23-JAN-2019,105.5
22-JAN-2019,100.85
21-JAN-2019,96.05
18-JAN-2019,100.15
17-JAN-2019,103.9
16-JAN-2019,104.15
15-JAN-2019,106.95
14-JAN-2019,108.45
11-JAN-2019,110.4
10-JAN-2019,112.2
09-JAN-2019,115.75
08-JAN-2019,121.35
07-JAN-2019,117.6
04-JAN-2019,112.0
03-JAN-2019,106.7
02-JAN-2019,112.3
01-JAN-2019,117.7
