DATE,CLOSE
21-JAN-2020,35.45
20-JAN-2020,35.8
17-JAN-2020,37.05
16-JAN-2020,38.55
15-JAN-2020,39.5
14-JAN-2020,38.7
13-JAN-2020,40.1
10-JAN-2020,36.95
09-JAN-2020,35.85
08-JAN-2020,34.3
07-JAN-2020,34.65
06-JAN-2020,34.15
03-JAN-2020,36.45
02-JAN-2020,36.85
01-JAN-2020,36.1
31-DEC-2019,35.2
30-DEC-2019,35.8
27-DEC-2019,35.45
26-DEC-2019,33.75
24-DEC-2019,33.7
23-DEC-2019,33.8
20-DEC-2019,34.1
19-DEC-2019,33.75
18-DEC-2019,34.35
17-DEC-2019,35.05
16-DEC-2019,36.3
13-DEC-2019,34.35
12-DEC-2019,33.3
11-DEC-2019,32.3
10-DEC-2019,32.4
09-DEC-2019,33.75
06-DEC-2019,33.75
05-DEC-2019,34.8
04-DEC-2019,35.0
03-DEC-2019,34.65
02-DEC-2019,35.3
29-NOV-2019,35.9
28-NOV-2019,35.8
27-NOV-2019,36.05
26-NOV-2019,35.6
25-NOV-2019,37.65
22-NOV-2019,35.15
21-NOV-2019,34.95
20-NOV-2019,32.5
19-NOV-2019,32.8
18-NOV-2019,33.15
15-NOV-2019,32.9
14-NOV-2019,33.2
13-NOV-2019,34.6
11-NOV-2019,35.15
08-NOV-2019,35.55
07-NOV-2019,35.8
06-NOV-2019,35.75
05-NOV-2019,36.15
04-NOV-2019,36.45
01-NOV-2019,36.0
31-OCT-2019,35.15
30-OCT-2019,36.25
29-OCT-2019,35.8
27-OCT-2019,35.85
25-OCT-2019,35.7
24-OCT-2019,36.65
23-OCT-2019,35.9
22-OCT-2019,36.45
18-OCT-2019,36.25
17-OCT-2019,35.2
16-OCT-2019,36.35
15-OCT-2019,34.45
14-OCT-2019,34.1
11-OCT-2019,33.8
10-OCT-2019,34.1
09-OCT-2019,34.55
07-OCT-2019,34.2
04-OCT-2019,35.05
03-OCT-2019,35.6
01-OCT-2019,35.9
30-SEP-2019,36.9
27-SEP-2019,38.3
26-SEP-2019,39.0
25-SEP-2019,39.35
24-SEP-2019,41.35
23-SEP-2019,39.6
20-SEP-2019,38.6
19-SEP-2019,36.85
18-SEP-2019,39.0
17-SEP-2019,38.75
16-SEP-2019,41.7
13-SEP-2019,43.2
12-SEP-2019,39.15
11-SEP-2019,34.25
09-SEP-2019,32.7
06-SEP-2019,32.65
05-SEP-2019,32.65
04-SEP-2019,31.85
03-SEP-2019,31.6
30-AUG-2019,31.55
29-AUG-2019,31.45
28-AUG-2019,32.0
27-AUG-2019,32.75
26-AUG-2019,30.4
23-AUG-2019,29.05
22-AUG-2019,29.65
21-AUG-2019,31.4
20-AUG-2019,32.1
19-AUG-2019,32.65
