DATE,CLOSE
21-JAN-2020,13.2
20-JAN-2020,13.6
17-JAN-2020,14.2
16-JAN-2020,14.85
15-JAN-2020,15.05
14-JAN-2020,15.15
13-JAN-2020,14.45
10-JAN-2020,13.85
09-JAN-2020,13.25
08-JAN-2020,13.0
07-JAN-2020,12.75
06-JAN-2020,12.8
03-JAN-2020,13.25
02-JAN-2020,13.4
01-JAN-2020,13.75
31-DEC-2019,13.2
30-DEC-2019,12.9
27-DEC-2019,13.15
26-DEC-2019,13.25
24-DEC-2019,13.9
23-DEC-2019,14.0
20-DEC-2019,13.95
19-DEC-2019,14.25
18-DEC-2019,14.1
17-DEC-2019,14.35
16-DEC-2019,14.45
13-DEC-2019,14.2
12-DEC-2019,14.85
11-DEC-2019,15.6
10-DEC-2019,16.05
09-DEC-2019,15.35
06-DEC-2019,16.0
05-DEC-2019,15.85
04-DEC-2019,16.05
03-DEC-2019,15.75
02-DEC-2019,15.5
29-NOV-2019,15.95
28-NOV-2019,16.1
27-NOV-2019,16.65
26-NOV-2019,16.7
25-NOV-2019,16.85
22-NOV-2019,16.55
21-NOV-2019,16.7
20-NOV-2019,16.65
19-NOV-2019,17.25
18-NOV-2019,17.5
15-NOV-2019,17.35
14-NOV-2019,17.75
13-NOV-2019,18.05
11-NOV-2019,17.6
08-NOV-2019,16.8
07-NOV-2019,17.35
06-NOV-2019,16.65
05-NOV-2019,17.5
04-NOV-2019,18.4
01-NOV-2019,19.25
31-OCT-2019,18.35
30-OCT-2019,17.5
29-OCT-2019,16.7
27-OCT-2019,15.95
25-OCT-2019,15.2
24-OCT-2019,14.5
23-OCT-2019,13.85
22-OCT-2019,13.5
18-OCT-2019,12.9
17-OCT-2019,12.75
16-OCT-2019,12.75
15-OCT-2019,12.15
14-OCT-2019,11.6
11-OCT-2019,11.05
10-OCT-2019,10.55
09-OCT-2019,10.1
07-OCT-2019,9.65
04-OCT-2019,10.15
03-OCT-2019,10.65
01-OCT-2019,11.2
30-SEP-2019,11.7
27-SEP-2019,11.75
26-SEP-2019,11.95
25-SEP-2019,12.25
24-SEP-2019,12.8
23-SEP-2019,13.1
20-SEP-2019,13.7
19-SEP-2019,13.45
18-SEP-2019,13.4
17-SEP-2019,13.25
16-SEP-2019,13.55
13-SEP-2019,13.7
12-SEP-2019,13.4
11-SEP-2019,12.95
09-SEP-2019,12.45
06-SEP-2019,12.0
05-SEP-2019,11.45
04-SEP-2019,11.8
03-SEP-2019,12.4
30-AUG-2019,13.05
29-AUG-2019,14.45
28-AUG-2019,16.05
27-AUG-2019,17.25
26-AUG-2019,17.45
23-AUG-2019,17.35
22-AUG-2019,17.45
21-AUG-2019,16.8
20-AUG-2019,17.6
19-AUG-2019,17.3
16-AUG-2019,17.15
14-AUG-2019,17.45
13-AUG-2019,17.75
09-AUG-2019,17.5
08-AUG-2019,16.95
07-AUG-2019,16.35
06-AUG-2019,16.55
05-AUG-2019,17.3
02-AUG-2019,17.1
01-AUG-2019,17.5
31-JUL-2019,17.7
30-JUL-2019,17.5
29-JUL-2019,17.1
26-JUL-2019,17.65
25-JUL-2019,17.85
24-JUL-2019,17.1
23-JUL-2019,17.25
22-JUL-2019,18.05
19-JUL-2019,18.0
18-JUL-2019,17.7
17-JUL-2019,16.95
16-JUL-2019,17.7
15-JUL-2019,17.7
12-JUL-2019,17.35
11-JUL-2019,17.45
10-JUL-2019,17.0
09-JUL-2019,16.25
08-JUL-2019,15.5
05-JUL-2019,15.45
04-JUL-2019,14.8
03-JUL-2019,14.15
02-JUL-2019,13.5
01-JUL-2019,13.1
28-JUN-2019,12.9
27-JUN-2019,12.95
26-JUN-2019,13.5
25-JUN-2019,12.9
24-JUN-2019,13.05
21-JUN-2019,14.5
20-JUN-2019,15.35
19-JUN-2019,15.5
18-JUN-2019,16.3
17-JUN-2019,16.15
14-JUN-2019,17.05
13-JUN-2019,16.9
12-JUN-2019,17.9
11-JUN-2019,17.65
10-JUN-2019,17.8
07-JUN-2019,17.75
06-JUN-2019,18.1
04-JUN-2019,18.8
03-JUN-2019,19.3
31-MAY-2019,19.3
30-MAY-2019,19.35
29-MAY-2019,19.25
28-MAY-2019,19.3
27-MAY-2019,19.1
24-MAY-2019,19.95
23-MAY-2019,20.5
22-MAY-2019,19.9
21-MAY-2019,19.6
20-MAY-2019,19.2
17-MAY-2019,18.65
16-MAY-2019,18.0
15-MAY-2019,17.15
14-MAY-2019,16.35
13-MAY-2019,18.0
10-MAY-2019,19.8
09-MAY-2019,19.4
08-MAY-2019,21.05
07-MAY-2019,22.1
06-MAY-2019,22.55
03-MAY-2019,22.3
02-MAY-2019,22.45
30-APR-2019,22.75
26-APR-2019,22.55
25-APR-2019,23.85
24-APR-2019,23.45
23-APR-2019,22.95
22-APR-2019,22.5
18-APR-2019,23.05
16-APR-2019,23.4
15-APR-2019,23.8
12-APR-2019,23.9
11-APR-2019,23.9
10-APR-2019,23.0
09-APR-2019,22.0
08-APR-2019,23.85
