DATE,CLOSE
21-JAN-2020,48.75
20-JAN-2020,51.15
17-JAN-2020,53.75
16-JAN-2020,56.0
15-JAN-2020,55.4
14-JAN-2020,53.3
13-JAN-2020,50.8
10-JAN-2020,50.1
09-JAN-2020,47.75
08-JAN-2020,45.5
07-JAN-2020,46.15
06-JAN-2020,44.95
03-JAN-2020,46.35
02-JAN-2020,46.55
01-JAN-2020,46.0
31-DEC-2019,48.4
30-DEC-2019,46.15
27-DEC-2019,44.2
26-DEC-2019,42.1
24-DEC-2019,40.1
23-DEC-2019,38.3
20-DEC-2019,37.75
19-DEC-2019,38.65
18-DEC-2019,38.85
17-DEC-2019,39.3
16-DEC-2019,38.3
13-DEC-2019,37.95
12-DEC-2019,37.55
11-DEC-2019,37.6
10-DEC-2019,39.1
09-DEC-2019,39.55
06-DEC-2019,39.15
05-DEC-2019,40.6
04-DEC-2019,39.05
03-DEC-2019,39.45
02-DEC-2019,40.0
29-NOV-2019,39.55
28-NOV-2019,39.75
27-NOV-2019,39.4
26-NOV-2019,39.85
25-NOV-2019,39.95
22-NOV-2019,39.5
21-NOV-2019,38.35
20-NOV-2019,36.55
19-NOV-2019,38.0
18-NOV-2019,38.05
15-NOV-2019,39.0
14-NOV-2019,41.0
13-NOV-2019,43.1
11-NOV-2019,44.65
08-NOV-2019,44.4
07-NOV-2019,42.95
06-NOV-2019,43.8
05-NOV-2019,45.7
04-NOV-2019,45.75
01-NOV-2019,48.15
31-OCT-2019,47.7
30-OCT-2019,48.1
29-OCT-2019,49.2
27-OCT-2019,49.5
25-OCT-2019,47.45
24-OCT-2019,48.85
23-OCT-2019,47.7
22-OCT-2019,48.6
18-OCT-2019,50.1
17-OCT-2019,50.9
16-OCT-2019,50.2
15-OCT-2019,50.55
14-OCT-2019,50.25
11-OCT-2019,47.9
10-OCT-2019,49.0
09-OCT-2019,49.05
07-OCT-2019,47.9
04-OCT-2019,49.75
03-OCT-2019,50.9
01-OCT-2019,50.95
30-SEP-2019,48.55
27-SEP-2019,51.1
26-SEP-2019,53.7
25-SEP-2019,56.5
24-SEP-2019,59.45
23-SEP-2019,62.15
20-SEP-2019,65.4
19-SEP-2019,68.8
18-SEP-2019,72.4
17-SEP-2019,76.2
16-SEP-2019,80.2
13-SEP-2019,82.85
12-SEP-2019,80.0
11-SEP-2019,79.95
09-SEP-2019,84.1
06-SEP-2019,87.65
05-SEP-2019,90.6
04-SEP-2019,88.75
03-SEP-2019,88.45
30-AUG-2019,88.15
29-AUG-2019,88.7
28-AUG-2019,91.1
27-AUG-2019,85.9
26-AUG-2019,91.15
23-AUG-2019,92.8
22-AUG-2019,89.2
21-AUG-2019,81.2
20-AUG-2019,69.85
19-AUG-2019,68.65
16-AUG-2019,65.6
14-AUG-2019,68.5
13-AUG-2019,66.85
09-AUG-2019,60.5
08-AUG-2019,57.8
07-AUG-2019,58.6
06-AUG-2019,59.65
05-AUG-2019,57.65
02-AUG-2019,59.05
01-AUG-2019,60.25
31-JUL-2019,60.2
30-JUL-2019,59.6
29-JUL-2019,57.7
26-JUL-2019,58.35
