DATE,CLOSE
21-JAN-2020,210.00
20-JAN-2020,210.00
17-JAN-2020,195.80
16-JAN-2020,227.99
15-JAN-2020,227.54
14-JAN-2020,188.05
13-JAN-2020,185.30
10-JAN-2020,195.00
09-JAN-2020,180.00
08-JAN-2020,226.00
07-JAN-2020,225.81
06-JAN-2020,205.00
03-JAN-2020,191.25
02-JAN-2020,287.95
01-JAN-2020,198.02
31-DEC-2019,235.00
30-DEC-2019,240.00
27-DEC-2019,230.00
26-DEC-2019,200.21
24-DEC-2019,204.90
23-DEC-2019,200.01
20-DEC-2019,173.00
19-DEC-2019,171.46
18-DEC-2019,182.90
17-DEC-2019,182.00
16-DEC-2019,210.25
13-DEC-2019,185.00
12-DEC-2019,191.00
11-DEC-2019,185.00
10-DEC-2019,200.00
09-DEC-2019,160.37
06-DEC-2019,202.00
05-DEC-2019,199.90
04-DEC-2019,175.00
03-DEC-2019,198.17
02-DEC-2019,190.00
29-NOV-2019,199.00
28-NOV-2019,180.00
27-NOV-2019,200.00
26-NOV-2019,195.00
25-NOV-2019,210.50
22-NOV-2019,195.00
21-NOV-2019,163.86
20-NOV-2019,185.00
19-NOV-2019,166.04
18-NOV-2019,173.25
15-NOV-2019,178.00
14-NOV-2019,179.00
13-NOV-2019,190.00
11-NOV-2019,179.99
08-NOV-2019,190.00
07-NOV-2019,178.90
06-NOV-2019,179.00
05-NOV-2019,178.00
04-NOV-2019,175.44
01-NOV-2019,189.99
31-OCT-2019,177.90
30-OCT-2019,157.40
29-OCT-2019,177.57
27-OCT-2019,176.48
25-OCT-2019,147.07
24-OCT-2019,208.00
23-OCT-2019,200.97
22-OCT-2019,180.60
18-OCT-2019,191.00
17-OCT-2019,259.00
16-OCT-2019,183.30
15-OCT-2019,221.00
14-OCT-2019,186.25
11-OCT-2019,190.40
10-OCT-2019,210.00
09-OCT-2019,300.00
07-OCT-2019,250.00
04-OCT-2019,269.00
03-OCT-2019,250.00
01-OCT-2019,253.21
30-SEP-2019,256.32
27-SEP-2019,295.00
26-SEP-2019,360.00
25-SEP-2019,282.00
24-SEP-2019,283.00
23-SEP-2019,330.00
20-SEP-2019,277.00
19-SEP-2019,349.00
18-SEP-2019,295.80
17-SEP-2019,349.80
16-SEP-2019,349.80
13-SEP-2019,306.00
12-SEP-2019,355.00
11-SEP-2019,300.00
09-SEP-2019,278.60
06-SEP-2019,305.0
05-SEP-2019,359.95
04-SEP-2019,344.80
03-SEP-2019,319.80
30-AUG-2019,300.00
29-AUG-2019,329.90
28-AUG-2019,310.50
27-AUG-2019,304.90
26-AUG-2019,304.79
23-AUG-2019,284.65
22-AUG-2019,267.56
21-AUG-2019,270.14
20-AUG-2019,282.00
19-AUG-2019,295.42
16-AUG-2019,285.80
14-AUG-2019,320.00
13-AUG-2019,300.00
09-AUG-2019,319.00
08-AUG-2019,330.00
07-AUG-2019,336.27
06-AUG-2019,347.19
05-AUG-2019,329.00
02-AUG-2019,317.55
01-AUG-2019,317.00
31-JUL-2019,317.01
30-JUL-2019,349.80
29-JUL-2019,325.01
26-JUL-2019,380.06
25-JUL-2019,389.00
24-JUL-2019,347.89
23-JUL-2019,375.00
22-JUL-2019,360.00
19-JUL-2019,390.00
18-JUL-2019,360.00
17-JUL-2019,365.00
16-JUL-2019,358.20
15-JUL-2019,438.40
12-JUL-2019,531.00
11-JUL-2019,570.00
10-JUL-2019,548.00
09-JUL-2019,510.00
08-JUL-2019,527.00
05-JUL-2019,512.90
04-JUL-2019,507.92
03-JUL-2019,486.00
02-JUL-2019,489.00
01-JUL-2019,430.36
28-JUN-2019,515.80
27-JUN-2019,555.00
26-JUN-2019,525.00
25-JUN-2019,541.00
24-JUN-2019,510.80
21-JUN-2019,500.00
20-JUN-2019,618.98
19-JUN-2019,500.00
18-JUN-2019,500.00
17-JUN-2019,535.00
14-JUN-2019,535.00
13-JUN-2019,545.80
12-JUN-2019,570.00
11-JUN-2019,515.00
10-JUN-2019,501.60
07-JUN-2019,418.00
06-JUN-2019,456.64
04-JUN-2019,567.79
03-JUN-2019,559.98
31-MAY-2019,534.57
30-MAY-2019,664.00
29-MAY-2019,675.00
28-MAY-2019,683.00
27-MAY-2019,710.88
24-MAY-2019,719.99
23-MAY-2019,739.00
22-MAY-2019,716.00
21-MAY-2019,717.30
20-MAY-2019,750.00
17-MAY-2019,744.90
16-MAY-2019,749.90
15-MAY-2019,703.80
14-MAY-2019,800.00
13-MAY-2019,820.25
10-MAY-2019,835.00
09-MAY-2019,790.00
08-MAY-2019,782.20
07-MAY-2019,818.66
06-MAY-2019,798.00
03-MAY-2019,780.00
02-MAY-2019,820.00
30-APR-2019,840.00
26-APR-2019,850.00
25-APR-2019,846.50
24-APR-2019,866.00
23-APR-2019,849.00
22-APR-2019,849.00
18-APR-2019,820.00
16-APR-2019,875.25
15-APR-2019,860.00
12-APR-2019,845.00
11-APR-2019,885.00
10-APR-2019,885.00
09-APR-2019,900.00
08-APR-2019,911.80
05-APR-2019,904.99
04-APR-2019,822.06
03-APR-2019,820.00
02-APR-2019,850.00
01-APR-2019,840.00
29-MAR-2019,799.98
28-MAR-2019,775.00
27-MAR-2019,816.50
26-MAR-2019,835.00
25-MAR-2019,800.00
22-MAR-2019,825.00
20-MAR-2019,830.00
19-MAR-2019,834.00
18-MAR-2019,850.00
15-MAR-2019,750.63
14-MAR-2019,929.00
13-MAR-2019,830.00
12-MAR-2019,750.00
