DATE,CLOSE
21-JAN-2020,50.25
20-JAN-2020,53.0
17-JAN-2020,53.85
16-JAN-2020,57.05
15-JAN-2020,58.0
14-JAN-2020,56.9
13-JAN-2020,55.95
10-JAN-2020,55.85
09-JAN-2020,57.75
08-JAN-2020,57.75
07-JAN-2020,60.2
06-JAN-2020,61.1
03-JAN-2020,63.7
02-JAN-2020,66.05
01-JAN-2020,63.55
31-DEC-2019,64.85
30-DEC-2019,64.7
27-DEC-2019,66.6
26-DEC-2019,65.0
24-DEC-2019,66.4
23-DEC-2019,65.75
20-DEC-2019,67.1
19-DEC-2019,66.05
18-DEC-2019,66.35
17-DEC-2019,67.9
16-DEC-2019,62.9
13-DEC-2019,62.6
12-DEC-2019,61.85
11-DEC-2019,62.25
10-DEC-2019,62.7
09-DEC-2019,63.45
06-DEC-2019,64.1
05-DEC-2019,64.7
04-DEC-2019,64.4
03-DEC-2019,64.25
02-DEC-2019,65.85
29-NOV-2019,64.8
28-NOV-2019,65.9
27-NOV-2019,66.2
26-NOV-2019,65.5
25-NOV-2019,66.45
22-NOV-2019,67.4
21-NOV-2019,68.0
20-NOV-2019,70.85
19-NOV-2019,70.2
18-NOV-2019,66.75
15-NOV-2019,63.3
14-NOV-2019,66.35
13-NOV-2019,66.6
11-NOV-2019,69.0
08-NOV-2019,74.45
07-NOV-2019,76.2
06-NOV-2019,76.85
05-NOV-2019,80.25
04-NOV-2019,78.5
01-NOV-2019,76.85
31-OCT-2019,77.35
30-OCT-2019,81.25
29-OCT-2019,75.15
27-OCT-2019,73.15
25-OCT-2019,72.3
24-OCT-2019,67.65
23-OCT-2019,64.1
22-OCT-2019,65.05
18-OCT-2019,63.7
17-OCT-2019,63.7
16-OCT-2019,61.6
15-OCT-2019,61.6
14-OCT-2019,57.4
11-OCT-2019,54.15
10-OCT-2019,55.45
09-OCT-2019,55.65
07-OCT-2019,57.25
04-OCT-2019,57.1
03-OCT-2019,57.85
01-OCT-2019,51.25
30-SEP-2019,51.45
27-SEP-2019,52.25
26-SEP-2019,48.6
25-SEP-2019,47.7
24-SEP-2019,50.3
23-SEP-2019,50.95
20-SEP-2019,49.15
19-SEP-2019,46.65
18-SEP-2019,47.6
17-SEP-2019,47.45
16-SEP-2019,49.15
13-SEP-2019,49.5
12-SEP-2019,46.9
11-SEP-2019,48.9
09-SEP-2019,42.9
06-SEP-2019,40.9
05-SEP-2019,38.25
04-SEP-2019,38.0
03-SEP-2019,36.2
30-AUG-2019,38.25
29-AUG-2019,38.55
28-AUG-2019,38.6
27-AUG-2019,40.85
26-AUG-2019,40.55
23-AUG-2019,39.65
22-AUG-2019,36.55
21-AUG-2019,38.0
20-AUG-2019,39.3
19-AUG-2019,42.15
