DATE,CLOSE
21-JAN-2020,28.9
20-JAN-2020,29.0
17-JAN-2020,27.65
16-JAN-2020,27.9
15-JAN-2020,26.95
14-JAN-2020,27.0
13-JAN-2020,27.5
10-JAN-2020,27.65
09-JAN-2020,28.15
08-JAN-2020,27.0
07-JAN-2020,27.35
06-JAN-2020,28.2
03-JAN-2020,31.3
02-JAN-2020,27.7
01-JAN-2020,23.1
31-DEC-2019,23.8
30-DEC-2019,22.7
27-DEC-2019,21.85
26-DEC-2019,22.2
24-DEC-2019,21.8
23-DEC-2019,21.0
20-DEC-2019,20.65
19-DEC-2019,20.6
18-DEC-2019,21.5
17-DEC-2019,20.55
16-DEC-2019,20.55
13-DEC-2019,20.6
12-DEC-2019,20.5
11-DEC-2019,20.5
10-DEC-2019,20.5
09-DEC-2019,20.7
06-DEC-2019,20.55
05-DEC-2019,20.5
04-DEC-2019,20.5
03-DEC-2019,20.8
02-DEC-2019,20.75
29-NOV-2019,20.5
28-NOV-2019,20.6
27-NOV-2019,20.3
26-NOV-2019,20.3
25-NOV-2019,21.35
22-NOV-2019,21.0
21-NOV-2019,20.45
20-NOV-2019,20.1
19-NOV-2019,20.1
18-NOV-2019,20.95
15-NOV-2019,19.55
14-NOV-2019,20.4
13-NOV-2019,19.9
11-NOV-2019,19.0
08-NOV-2019,19.15
07-NOV-2019,19.25
06-NOV-2019,19.2
05-NOV-2019,19.05
04-NOV-2019,19.6
01-NOV-2019,19.2
31-OCT-2019,19.95
30-OCT-2019,19.75
29-OCT-2019,20.0
27-OCT-2019,20.1
25-OCT-2019,20.3
24-OCT-2019,20.05
23-OCT-2019,20.4
22-OCT-2019,19.3
18-OCT-2019,20.5
17-OCT-2019,20.45
16-OCT-2019,19.65
15-OCT-2019,20.2
14-OCT-2019,19.75
11-OCT-2019,19.25
10-OCT-2019,18.95
09-OCT-2019,19.25
07-OCT-2019,20.45
04-OCT-2019,20.95
03-OCT-2019,20.85
01-OCT-2019,21.25
30-SEP-2019,21.65
27-SEP-2019,22.3
26-SEP-2019,22.1
25-SEP-2019,22.55
24-SEP-2019,22.8
23-SEP-2019,22.25
20-SEP-2019,23.2
19-SEP-2019,23.05
18-SEP-2019,23.95
17-SEP-2019,23.55
16-SEP-2019,22.45
13-SEP-2019,22.2
12-SEP-2019,21.95
11-SEP-2019,21.65
09-SEP-2019,22.45
06-SEP-2019,22.2
05-SEP-2019,23.35
04-SEP-2019,22.25
03-SEP-2019,20.25
30-AUG-2019,18.45
29-AUG-2019,16.8
28-AUG-2019,16.95
27-AUG-2019,18.0
26-AUG-2019,18.1
23-AUG-2019,18.75
22-AUG-2019,19.7
21-AUG-2019,21.55
20-AUG-2019,23.1
19-AUG-2019,24.35
16-AUG-2019,24.85
14-AUG-2019,24.9
13-AUG-2019,25.1
09-AUG-2019,25.1
08-AUG-2019,26.15
07-AUG-2019,28.05
06-AUG-2019,27.9
05-AUG-2019,27.5
02-AUG-2019,28.3
01-AUG-2019,28.4
31-JUL-2019,28.6
30-JUL-2019,28.7
29-JUL-2019,28.45
26-JUL-2019,29.4
25-JUL-2019,29.05
24-JUL-2019,29.3
23-JUL-2019,29.2
22-JUL-2019,30.25
19-JUL-2019,30.0
18-JUL-2019,30.35
17-JUL-2019,30.6
16-JUL-2019,30.75
15-JUL-2019,30.55
12-JUL-2019,31.05
11-JUL-2019,33.0
10-JUL-2019,31.75
09-JUL-2019,37.55
08-JUL-2019,37.0
05-JUL-2019,37.2
04-JUL-2019,38.05
03-JUL-2019,36.25
02-JUL-2019,35.7
01-JUL-2019,33.7
28-JUN-2019,35.45
27-JUN-2019,36.3
26-JUN-2019,35.45
25-JUN-2019,36.55
24-JUN-2019,37.0
21-JUN-2019,37.0
20-JUN-2019,37.35
19-JUN-2019,36.8
18-JUN-2019,36.4
17-JUN-2019,38.0
14-JUN-2019,39.35
13-JUN-2019,39.55
12-JUN-2019,39.25
11-JUN-2019,39.0
10-JUN-2019,39.25
07-JUN-2019,38.9
06-JUN-2019,37.6
04-JUN-2019,38.65
03-JUN-2019,38.65
31-MAY-2019,38.05
30-MAY-2019,39.0
29-MAY-2019,39.45
28-MAY-2019,41.05
27-MAY-2019,41.9
24-MAY-2019,39.95
23-MAY-2019,41.05
22-MAY-2019,41.2
21-MAY-2019,40.9
20-MAY-2019,41.45
17-MAY-2019,38.25
16-MAY-2019,32.3
15-MAY-2019,31.65
14-MAY-2019,32.8
13-MAY-2019,32.65
10-MAY-2019,34.85
09-MAY-2019,29.05
08-MAY-2019,29.6
07-MAY-2019,31.1
06-MAY-2019,31.25
03-MAY-2019,31.4
02-MAY-2019,32.0
30-APR-2019,31.8
26-APR-2019,32.6
25-APR-2019,32.3
24-APR-2019,32.35
23-APR-2019,31.45
22-APR-2019,31.9
18-APR-2019,34.2
16-APR-2019,34.2
15-APR-2019,35.85
12-APR-2019,36.05
11-APR-2019,37.25
10-APR-2019,36.45
09-APR-2019,34.65
08-APR-2019,34.75
05-APR-2019,36.05
04-APR-2019,34.9
03-APR-2019,33.4
02-APR-2019,33.25
01-APR-2019,32.7
29-MAR-2019,30.1
28-MAR-2019,30.55
27-MAR-2019,29.3
26-MAR-2019,29.85
25-MAR-2019,28.9
22-MAR-2019,29.6
20-MAR-2019,28.7
19-MAR-2019,29.3
18-MAR-2019,28.35
15-MAR-2019,29.35
14-MAR-2019,30.0
13-MAR-2019,31.8
12-MAR-2019,31.55
11-MAR-2019,30.6
08-MAR-2019,31.0
07-MAR-2019,32.5
06-MAR-2019,32.15
05-MAR-2019,30.0
01-MAR-2019,29.25
28-FEB-2019,28.7
27-FEB-2019,29.1
26-FEB-2019,28.45
25-FEB-2019,29.25
22-FEB-2019,29.75
21-FEB-2019,30.4
20-FEB-2019,29.6
19-FEB-2019,29.65
18-FEB-2019,29.7
15-FEB-2019,29.05
14-FEB-2019,29.4
13-FEB-2019,29.05
12-FEB-2019,28.85
11-FEB-2019,29.2
08-FEB-2019,30.05
07-FEB-2019,30.75
06-FEB-2019,29.8
05-FEB-2019,30.2
04-FEB-2019,30.6
01-FEB-2019,31.85
31-JAN-2019,32.25
30-JAN-2019,33.25
29-JAN-2019,32.7
28-JAN-2019,32.1
25-JAN-2019,34.85
24-JAN-2019,38.1
23-JAN-2019,40.3
22-JAN-2019,40.4
21-JAN-2019,39.85
18-JAN-2019,40.0
17-JAN-2019,39.55
16-JAN-2019,40.65
15-JAN-2019,36.2
14-JAN-2019,33.95
11-JAN-2019,33.7
10-JAN-2019,32.75
09-JAN-2019,31.5
08-JAN-2019,32.0
07-JAN-2019,32.35
04-JAN-2019,32.65
03-JAN-2019,32.85
02-JAN-2019,32.9
01-JAN-2019,33.15
31-DEC-2018,33.1
28-DEC-2018,33.15
27-DEC-2018,33.35
26-DEC-2018,33.75
24-DEC-2018,34.2
21-DEC-2018,34.7
20-DEC-2018,35.45
19-DEC-2018,34.55
18-DEC-2018,35.1
17-DEC-2018,34.8
14-DEC-2018,33.55
13-DEC-2018,34.1
12-DEC-2018,33.85
11-DEC-2018,34.05
10-DEC-2018,33.0
07-DEC-2018,34.8
06-DEC-2018,35.3
05-DEC-2018,36.5
