DATE,CLOSE
21-JAN-2020,5.15
20-JAN-2020,5.1
17-JAN-2020,5.2
16-JAN-2020,5.1
15-JAN-2020,5.15
14-JAN-2020,5.0
13-JAN-2020,5.1
10-JAN-2020,5.35
09-JAN-2020,5.25
08-JAN-2020,5.1
07-JAN-2020,5.2
06-JAN-2020,5.3
03-JAN-2020,5.3
02-JAN-2020,5.2
01-JAN-2020,5.05
31-DEC-2019,5.25
30-DEC-2019,5.3
27-DEC-2019,5.4
26-DEC-2019,5.25
24-DEC-2019,5.15
23-DEC-2019,5.1
20-DEC-2019,5.25
19-DEC-2019,5.2
18-DEC-2019,5.05
17-DEC-2019,5.3
16-DEC-2019,5.55
13-DEC-2019,5.6
12-DEC-2019,5.7
11-DEC-2019,5.5
10-DEC-2019,5.5
09-DEC-2019,5.5
06-DEC-2019,5.75
05-DEC-2019,5.6
04-DEC-2019,5.8
03-DEC-2019,5.85
02-DEC-2019,5.9
29-NOV-2019,5.75
28-NOV-2019,5.9
27-NOV-2019,5.95
26-NOV-2019,6.1
25-NOV-2019,6.0
22-NOV-2019,5.8
21-NOV-2019,6.0
20-NOV-2019,6.2
19-NOV-2019,6.0
18-NOV-2019,6.15
15-NOV-2019,5.9
14-NOV-2019,6.0
13-NOV-2019,6.05
11-NOV-2019,6.25
08-NOV-2019,6.0
07-NOV-2019,6.0
06-NOV-2019,5.85
05-NOV-2019,6.1
04-NOV-2019,6.05
01-NOV-2019,6.1
31-OCT-2019,6.0
30-OCT-2019,6.1
29-OCT-2019,6.05
27-OCT-2019,6.15
25-OCT-2019,5.9
24-OCT-2019,6.15
23-OCT-2019,5.9
22-OCT-2019,5.95
18-OCT-2019,6.0
17-OCT-2019,5.8
16-OCT-2019,5.7
15-OCT-2019,5.65
14-OCT-2019,5.9
11-OCT-2019,6.2
10-OCT-2019,6.2
09-OCT-2019,6.05
07-OCT-2019,6.3
04-OCT-2019,6.15
03-OCT-2019,5.95
01-OCT-2019,6.15
30-SEP-2019,6.35
27-SEP-2019,6.25
26-SEP-2019,6.4
25-SEP-2019,6.5
24-SEP-2019,6.8
23-SEP-2019,7.15
20-SEP-2019,7.5
19-SEP-2019,7.65
18-SEP-2019,8.45
