DATE,CLOSE
21-JAN-2020,6.8
20-JAN-2020,6.8
17-JAN-2020,6.6
16-JAN-2020,6.5
15-JAN-2020,6.4
14-JAN-2020,6.25
13-JAN-2020,6.05
10-JAN-2020,5.9
09-JAN-2020,6.15
08-JAN-2020,6.05
07-JAN-2020,6.25
06-JAN-2020,6.3
03-JAN-2020,6.2
02-JAN-2020,6.25
01-JAN-2020,6.4
31-DEC-2019,6.25
30-DEC-2019,6.3
27-DEC-2019,6.6
26-DEC-2019,6.25
24-DEC-2019,6.5
23-DEC-2019,6.25
20-DEC-2019,6.55
19-DEC-2019,6.55
18-DEC-2019,6.45
17-DEC-2019,6.65
16-DEC-2019,6.2
13-DEC-2019,6.75
12-DEC-2019,6.8
11-DEC-2019,6.65
10-DEC-2019,6.35
06-DEC-2019,6.25
05-DEC-2019,6.65
04-DEC-2019,6.4
03-DEC-2019,6.5
02-DEC-2019,6.25
29-NOV-2019,6.55
28-NOV-2019,6.25
27-NOV-2019,6.1
26-NOV-2019,5.85
25-NOV-2019,5.9
22-NOV-2019,5.7
21-NOV-2019,6.0
20-NOV-2019,5.75
19-NOV-2019,5.95
18-NOV-2019,6.1
15-NOV-2019,5.55
14-NOV-2019,5.8
13-NOV-2019,5.65
11-NOV-2019,6.05
08-NOV-2019,5.8
07-NOV-2019,5.7
06-NOV-2019,5.8
05-NOV-2019,5.75
04-NOV-2019,5.6
01-NOV-2019,5.8
31-OCT-2019,5.95
30-OCT-2019,5.5
29-OCT-2019,5.75
27-OCT-2019,6.15
25-OCT-2019,5.6
24-OCT-2019,5.7
23-OCT-2019,6.15
22-OCT-2019,6.0
18-OCT-2019,5.75
17-OCT-2019,5.95
16-OCT-2019,5.95
15-OCT-2019,6.55
14-OCT-2019,6.35
11-OCT-2019,6.7
10-OCT-2019,6.1
09-OCT-2019,6.45
07-OCT-2019,7.1
04-OCT-2019,6.85
03-OCT-2019,6.75
01-OCT-2019,7.1
30-SEP-2019,7.45
27-SEP-2019,7.65
26-SEP-2019,7.95
25-SEP-2019,7.75
24-SEP-2019,7.8
23-SEP-2019,7.65
20-SEP-2019,7.3
19-SEP-2019,7.55
18-SEP-2019,7.7
17-SEP-2019,7.6
16-SEP-2019,8.0
13-SEP-2019,8.15
12-SEP-2019,7.8
11-SEP-2019,7.45
09-SEP-2019,7.3
06-SEP-2019,6.65
05-SEP-2019,6.05
04-SEP-2019,6.0
03-SEP-2019,6.05
30-AUG-2019,5.8
29-AUG-2019,5.9
28-AUG-2019,6.0
27-AUG-2019,6.5
26-AUG-2019,6.05
23-AUG-2019,5.8
22-AUG-2019,5.8
21-AUG-2019,6.4
20-AUG-2019,6.25
19-AUG-2019,5.85
16-AUG-2019,5.95
14-AUG-2019,6.3
13-AUG-2019,5.95
09-AUG-2019,6.0
08-AUG-2019,6.1
07-AUG-2019,5.9
06-AUG-2019,6.4
05-AUG-2019,6.2
02-AUG-2019,6.8
01-AUG-2019,6.65
31-JUL-2019,6.25
30-JUL-2019,6.25
29-JUL-2019,6.5
26-JUL-2019,6.6
25-JUL-2019,6.5
24-JUL-2019,6.85
23-JUL-2019,6.85
22-JUL-2019,6.8
19-JUL-2019,6.85
18-JUL-2019,6.6
17-JUL-2019,7.0
16-JUL-2019,7.2
15-JUL-2019,6.65
12-JUL-2019,7.0
11-JUL-2019,7.0
10-JUL-2019,7.1
09-JUL-2019,7.25
08-JUL-2019,7.45
05-JUL-2019,7.35
04-JUL-2019,7.75
03-JUL-2019,7.75
02-JUL-2019,7.65
01-JUL-2019,7.6
28-JUN-2019,7.75
27-JUN-2019,8.35
