DATE,CLOSE
21-JAN-2020,3.85
20-JAN-2020,3.95
17-JAN-2020,4.15
16-JAN-2020,4.35
15-JAN-2020,4.55
14-JAN-2020,4.45
13-JAN-2020,4.1
10-JAN-2020,3.75
09-JAN-2020,3.7
08-JAN-2020,3.75
07-JAN-2020,3.75
06-JAN-2020,3.45
03-JAN-2020,3.55
02-JAN-2020,3.5
01-JAN-2020,3.2
31-DEC-2019,3.1
30-DEC-2019,3.1
27-DEC-2019,3.05
26-DEC-2019,3.15
24-DEC-2019,3.1
23-DEC-2019,3.2
20-DEC-2019,3.1
19-DEC-2019,3.15
18-DEC-2019,3.4
17-DEC-2019,3.35
16-DEC-2019,3.45
13-DEC-2019,3.4
12-DEC-2019,3.55
11-DEC-2019,3.45
10-DEC-2019,3.4
09-DEC-2019,3.5
06-DEC-2019,3.65
05-DEC-2019,3.7
04-DEC-2019,3.7
03-DEC-2019,3.65
02-DEC-2019,3.5
29-NOV-2019,3.5
28-NOV-2019,3.55
27-NOV-2019,3.4
26-NOV-2019,3.5
25-NOV-2019,3.5
22-NOV-2019,3.55
21-NOV-2019,3.5
20-NOV-2019,3.35
19-NOV-2019,3.35
18-NOV-2019,3.5
15-NOV-2019,3.65
14-NOV-2019,3.6
13-NOV-2019,3.7
11-NOV-2019,3.85
08-NOV-2019,4.05
07-NOV-2019,4.0
06-NOV-2019,3.85
05-NOV-2019,3.7
04-NOV-2019,3.75
01-NOV-2019,3.8
31-OCT-2019,3.7
30-OCT-2019,3.65
29-OCT-2019,3.8
27-OCT-2019,3.85
25-OCT-2019,3.75
24-OCT-2019,3.85
23-OCT-2019,3.85
22-OCT-2019,3.7
18-OCT-2019,3.55
17-OCT-2019,3.4
16-OCT-2019,3.55
15-OCT-2019,3.7
14-OCT-2019,3.85
11-OCT-2019,4.05
10-OCT-2019,4.25
09-OCT-2019,4.15
07-OCT-2019,4.35
04-OCT-2019,4.55
03-OCT-2019,4.75
01-OCT-2019,4.7
30-SEP-2019,4.7
27-SEP-2019,4.9
26-SEP-2019,4.9
25-SEP-2019,4.9
24-SEP-2019,4.85
23-SEP-2019,4.8
20-SEP-2019,4.7
19-SEP-2019,4.55
18-SEP-2019,4.45
17-SEP-2019,4.3
16-SEP-2019,4.35
13-SEP-2019,4.2
12-SEP-2019,4.0
11-SEP-2019,3.85
09-SEP-2019,3.7
06-SEP-2019,3.55
05-SEP-2019,3.55
04-SEP-2019,3.6
03-SEP-2019,3.65
30-AUG-2019,3.8
29-AUG-2019,3.9
28-AUG-2019,4.1
27-AUG-2019,3.95
26-AUG-2019,4.0
23-AUG-2019,3.85
22-AUG-2019,4.0
21-AUG-2019,4.0
20-AUG-2019,4.05
19-AUG-2019,4.05
16-AUG-2019,4.1
14-AUG-2019,3.95
13-AUG-2019,4.15
09-AUG-2019,4.1
08-AUG-2019,4.1
07-AUG-2019,4.05
06-AUG-2019,4.15
05-AUG-2019,4.0
02-AUG-2019,4.05
01-AUG-2019,4.2
31-JUL-2019,4.15
30-JUL-2019,4.35
29-JUL-2019,4.55
26-JUL-2019,4.75
25-JUL-2019,4.65
24-JUL-2019,4.75
23-JUL-2019,5.0
22-JUL-2019,5.2
19-JUL-2019,5.45
18-JUL-2019,5.55
17-JUL-2019,5.8
16-JUL-2019,5.8
15-JUL-2019,5.8
12-JUL-2019,5.75
11-JUL-2019,5.5
10-JUL-2019,5.25
09-JUL-2019,5.0
08-JUL-2019,4.8
05-JUL-2019,4.7
04-JUL-2019,4.65
03-JUL-2019,4.8
02-JUL-2019,4.7
01-JUL-2019,4.9
28-JUN-2019,4.7
27-JUN-2019,4.55
26-JUN-2019,4.4
25-JUN-2019,4.2
24-JUN-2019,4.0
21-JUN-2019,4.05
20-JUN-2019,4.0
19-JUN-2019,3.85
18-JUN-2019,4.0
17-JUN-2019,4.0
14-JUN-2019,4.0
13-JUN-2019,4.05
12-JUN-2019,4.15
11-JUN-2019,4.3
10-JUN-2019,4.5
07-JUN-2019,4.6
06-JUN-2019,4.5
04-JUN-2019,4.6
03-JUN-2019,4.8
31-MAY-2019,4.9
30-MAY-2019,5.0
29-MAY-2019,5.0
28-MAY-2019,5.1
27-MAY-2019,5.0
24-MAY-2019,4.9
23-MAY-2019,4.7
22-MAY-2019,4.9
21-MAY-2019,5.0
20-MAY-2019,5.0
17-MAY-2019,5.05
16-MAY-2019,5.15
15-MAY-2019,5.2
14-MAY-2019,5.25
13-MAY-2019,5.35
10-MAY-2019,5.55
09-MAY-2019,5.6
08-MAY-2019,5.7
07-MAY-2019,5.65
06-MAY-2019,5.75
03-MAY-2019,5.7
02-MAY-2019,5.75
30-APR-2019,5.9
26-APR-2019,5.85
25-APR-2019,5.9
24-APR-2019,5.8
23-APR-2019,6.1
22-APR-2019,5.95
18-APR-2019,5.95
16-APR-2019,6.25
15-APR-2019,6.0
12-APR-2019,5.95
11-APR-2019,5.9
10-APR-2019,5.95
09-APR-2019,6.0
08-APR-2019,6.25
05-APR-2019,6.0
04-APR-2019,6.05
03-APR-2019,6.25
02-APR-2019,6.2
01-APR-2019,5.95
29-MAR-2019,5.7
28-MAR-2019,5.75
27-MAR-2019,5.7
26-MAR-2019,5.95
25-MAR-2019,5.85
22-MAR-2019,5.85
20-MAR-2019,5.65
19-MAR-2019,5.4
18-MAR-2019,5.45
15-MAR-2019,5.7
14-MAR-2019,6.0
13-MAR-2019,5.85
12-MAR-2019,5.6
11-MAR-2019,5.35
08-MAR-2019,5.1
07-MAR-2019,4.9
06-MAR-2019,4.7
05-MAR-2019,4.5
01-MAR-2019,4.3
28-FEB-2019,4.1
27-FEB-2019,3.95
26-FEB-2019,3.85
25-FEB-2019,3.75
22-FEB-2019,3.6
21-FEB-2019,3.45
20-FEB-2019,3.3
19-FEB-2019,3.3
18-FEB-2019,3.4
15-FEB-2019,3.55
14-FEB-2019,3.6
13-FEB-2019,3.65
12-FEB-2019,3.65
11-FEB-2019,3.8
08-FEB-2019,4.0
07-FEB-2019,4.2
06-FEB-2019,4.4
05-FEB-2019,4.6
04-FEB-2019,4.75
01-FEB-2019,4.75
31-JAN-2019,4.8
30-JAN-2019,4.9
29-JAN-2019,5.05
28-JAN-2019,5.05
25-JAN-2019,4.95
24-JAN-2019,5.15
23-JAN-2019,5.15
22-JAN-2019,5.15
21-JAN-2019,5.35
18-JAN-2019,5.6
17-JAN-2019,5.7
16-JAN-2019,5.5
15-JAN-2019,5.75
14-JAN-2019,5.85
11-JAN-2019,5.95
10-JAN-2019,5.95
09-JAN-2019,6.15
08-JAN-2019,6.0
07-JAN-2019,6.1
04-JAN-2019,6.0
03-JAN-2019,5.95
02-JAN-2019,6.0
01-JAN-2019,5.9
31-DEC-2018,5.65
28-DEC-2018,5.75
27-DEC-2018,5.75
26-DEC-2018,6.0
24-DEC-2018,6.0
21-DEC-2018,5.95
20-DEC-2018,6.0
19-DEC-2018,5.8
18-DEC-2018,5.75
17-DEC-2018,5.85
14-DEC-2018,6.0
13-DEC-2018,5.65
12-DEC-2018,6.15
11-DEC-2018,6.4
10-DEC-2018,5.7
07-DEC-2018,6.0
06-DEC-2018,5.15
05-DEC-2018,4.75
04-DEC-2018,4.8
03-DEC-2018,4.9
30-NOV-2018,4.9
29-NOV-2018,4.9
28-NOV-2018,4.65
27-NOV-2018,4.9
26-NOV-2018,4.75
22-NOV-2018,4.9
21-NOV-2018,5.05
20-NOV-2018,5.05
19-NOV-2018,5.0
16-NOV-2018,4.95
15-NOV-2018,4.9
14-NOV-2018,5.05
13-NOV-2018,5.05
12-NOV-2018,5.1
09-NOV-2018,5.05
07-NOV-2018,5.15
06-NOV-2018,5.0
05-NOV-2018,4.85
02-NOV-2018,4.9
01-NOV-2018,4.8
31-OCT-2018,4.9
30-OCT-2018,4.95
29-OCT-2018,4.85
26-OCT-2018,4.75
25-OCT-2018,4.7
24-OCT-2018,4.75
23-OCT-2018,4.65
22-OCT-2018,4.7
19-OCT-2018,4.95
17-OCT-2018,4.8
16-OCT-2018,4.75
15-OCT-2018,4.9
12-OCT-2018,5.05
11-OCT-2018,4.95
10-OCT-2018,5.05
09-OCT-2018,4.6
08-OCT-2018,4.9
05-OCT-2018,4.75
04-OCT-2018,4.85
03-OCT-2018,5.05
01-OCT-2018,5.2
28-SEP-2018,5.4
27-SEP-2018,5.65
26-SEP-2018,5.75
25-SEP-2018,5.8
24-SEP-2018,5.9
21-SEP-2018,5.85
19-SEP-2018,6.0
18-SEP-2018,5.8
17-SEP-2018,5.9
14-SEP-2018,6.1
12-SEP-2018,6.2
11-SEP-2018,6.25
10-SEP-2018,6.15
07-SEP-2018,5.95
06-SEP-2018,6.0
05-SEP-2018,5.9
04-SEP-2018,6.2
03-SEP-2018,6.0
31-AUG-2018,5.95
30-AUG-2018,5.95
29-AUG-2018,5.7
28-AUG-2018,5.75
27-AUG-2018,5.8
24-AUG-2018,5.9
23-AUG-2018,5.75
21-AUG-2018,5.85
20-AUG-2018,5.65
17-AUG-2018,5.6
16-AUG-2018,5.7
14-AUG-2018,5.8
13-AUG-2018,6.0
10-AUG-2018,5.95
09-AUG-2018,6.15
08-AUG-2018,5.9
07-AUG-2018,6.05
06-AUG-2018,6.3
03-AUG-2018,6.55
02-AUG-2018,6.75
01-AUG-2018,6.25
31-JUL-2018,5.7
30-JUL-2018,5.2
27-JUL-2018,5.25
26-JUL-2018,5.1
25-JUL-2018,5.1
