DATE,CLOSE
21-JAN-2020,39.85
20-JAN-2020,38.4
17-JAN-2020,40.6
16-JAN-2020,41.8
15-JAN-2020,41.5
14-JAN-2020,40.1
13-JAN-2020,39.65
10-JAN-2020,38.5
09-JAN-2020,37.0
08-JAN-2020,36.1
07-JAN-2020,35.95
06-JAN-2020,34.75
03-JAN-2020,37.5
02-JAN-2020,36.35
01-JAN-2020,34.6
31-DEC-2019,34.6
30-DEC-2019,34.3
27-DEC-2019,34.6
26-DEC-2019,33.95
24-DEC-2019,35.15
23-DEC-2019,34.4
20-DEC-2019,35.05
19-DEC-2019,35.1
18-DEC-2019,35.8
17-DEC-2019,35.05
16-DEC-2019,33.5
13-DEC-2019,32.1
12-DEC-2019,32.7
11-DEC-2019,33.3
10-DEC-2019,33.85
09-DEC-2019,34.2
06-DEC-2019,34.65
05-DEC-2019,35.4
04-DEC-2019,35.1
03-DEC-2019,34.25
02-DEC-2019,34.55
29-NOV-2019,35.5
28-NOV-2019,36.5
27-NOV-2019,38.1
26-NOV-2019,34.25
25-NOV-2019,34.45
22-NOV-2019,33.8
21-NOV-2019,34.05
20-NOV-2019,35.15
19-NOV-2019,35.35
18-NOV-2019,35.35
15-NOV-2019,35.5
14-NOV-2019,35.85
13-NOV-2019,35.5
11-NOV-2019,36.7
08-NOV-2019,37.05
07-NOV-2019,37.15
06-NOV-2019,36.8
05-NOV-2019,37.25
04-NOV-2019,36.55
01-NOV-2019,36.5
31-OCT-2019,36.2
30-OCT-2019,36.15
29-OCT-2019,35.6
27-OCT-2019,37.1
25-OCT-2019,36.35
24-OCT-2019,36.85
23-OCT-2019,36.5
22-OCT-2019,36.25
18-OCT-2019,37.35
17-OCT-2019,36.35
16-OCT-2019,35.75
15-OCT-2019,36.0
14-OCT-2019,34.2
11-OCT-2019,35.35
10-OCT-2019,36.45
09-OCT-2019,36.7
07-OCT-2019,36.3
04-OCT-2019,36.9
03-OCT-2019,38.3
01-OCT-2019,38.2
30-SEP-2019,39.05
27-SEP-2019,37.8
26-SEP-2019,38.8
25-SEP-2019,38.85
24-SEP-2019,40.8
23-SEP-2019,44.3
20-SEP-2019,38.6
19-SEP-2019,37.0
18-SEP-2019,38.6
17-SEP-2019,36.3
16-SEP-2019,38.95
13-SEP-2019,36.45
12-SEP-2019,37.45
11-SEP-2019,35.5
09-SEP-2019,33.0
06-SEP-2019,32.65
05-SEP-2019,32.15
04-SEP-2019,32.35
03-SEP-2019,31.35
30-AUG-2019,32.6
29-AUG-2019,31.3
28-AUG-2019,32.75
27-AUG-2019,32.1
26-AUG-2019,30.1
23-AUG-2019,30.5
22-AUG-2019,29.85
