DATE,CLOSE
21-JAN-2020,9.0
20-JAN-2020,8.95
17-JAN-2020,9.3
16-JAN-2020,9.5
15-JAN-2020,9.05
14-JAN-2020,9.2
13-JAN-2020,9.25
10-JAN-2020,9.05
09-JAN-2020,9.05
08-JAN-2020,9.3
07-JAN-2020,10.3
06-JAN-2020,8.6
03-JAN-2020,8.1
02-JAN-2020,8.0
01-JAN-2020,7.95
31-DEC-2019,7.5
30-DEC-2019,7.25
27-DEC-2019,7.0
26-DEC-2019,6.6
24-DEC-2019,6.35
23-DEC-2019,6.35
20-DEC-2019,6.6
19-DEC-2019,6.55
18-DEC-2019,6.4
17-DEC-2019,6.25
16-DEC-2019,6.35
13-DEC-2019,6.15
12-DEC-2019,6.05
11-DEC-2019,6.05
10-DEC-2019,6.2
09-DEC-2019,6.25
06-DEC-2019,6.1
05-DEC-2019,6.4
04-DEC-2019,6.45
03-DEC-2019,5.95
02-DEC-2019,6.05
29-NOV-2019,6.15
28-NOV-2019,6.1
27-NOV-2019,6.15
26-NOV-2019,6.2
25-NOV-2019,6.3
22-NOV-2019,6.35
21-NOV-2019,6.35
20-NOV-2019,6.35
19-NOV-2019,6.55
18-NOV-2019,6.6
15-NOV-2019,6.65
14-NOV-2019,6.7
13-NOV-2019,6.9
11-NOV-2019,6.9
08-NOV-2019,6.7
07-NOV-2019,6.6
06-NOV-2019,6.65
05-NOV-2019,6.45
04-NOV-2019,6.75
01-NOV-2019,6.8
31-OCT-2019,6.05
30-OCT-2019,5.95
29-OCT-2019,5.95
27-OCT-2019,5.85
25-OCT-2019,5.75
24-OCT-2019,5.9
23-OCT-2019,6.0
22-OCT-2019,5.85
18-OCT-2019,5.95
17-OCT-2019,5.6
16-OCT-2019,5.9
15-OCT-2019,6.05
14-OCT-2019,6.1
11-OCT-2019,6.05
10-OCT-2019,6.25
09-OCT-2019,6.35
07-OCT-2019,6.45
04-OCT-2019,6.65
03-OCT-2019,6.8
01-OCT-2019,6.85
30-SEP-2019,7.05
27-SEP-2019,7.0
26-SEP-2019,7.15
25-SEP-2019,7.2
24-SEP-2019,7.25
23-SEP-2019,7.2
20-SEP-2019,7.15
19-SEP-2019,7.3
18-SEP-2019,7.45
17-SEP-2019,7.7
16-SEP-2019,7.8
13-SEP-2019,7.7
12-SEP-2019,7.45
11-SEP-2019,7.7
09-SEP-2019,7.05
06-SEP-2019,7.15
05-SEP-2019,7.25
04-SEP-2019,7.05
03-SEP-2019,7.05
30-AUG-2019,7.05
29-AUG-2019,6.9
28-AUG-2019,6.65
27-AUG-2019,6.8
26-AUG-2019,6.75
23-AUG-2019,6.8
22-AUG-2019,6.65
21-AUG-2019,6.6
20-AUG-2019,6.65
19-AUG-2019,6.7
16-AUG-2019,6.75
14-AUG-2019,7.05
13-AUG-2019,6.65
09-AUG-2019,6.75
08-AUG-2019,6.55
07-AUG-2019,6.6
06-AUG-2019,7.05
05-AUG-2019,6.2
02-AUG-2019,6.5
01-AUG-2019,6.5
31-JUL-2019,6.5
30-JUL-2019,6.6
29-JUL-2019,7.0
26-JUL-2019,7.05
25-JUL-2019,7.1
24-JUL-2019,7.1
23-JUL-2019,7.2
22-JUL-2019,7.2
19-JUL-2019,7.3
18-JUL-2019,7.45
17-JUL-2019,7.5
16-JUL-2019,7.7
15-JUL-2019,7.65
12-JUL-2019,7.75
11-JUL-2019,7.3
10-JUL-2019,7.35
09-JUL-2019,7.55
08-JUL-2019,7.4
05-JUL-2019,7.75
04-JUL-2019,7.8
03-JUL-2019,7.65
02-JUL-2019,7.7
01-JUL-2019,7.75
28-JUN-2019,7.6
27-JUN-2019,7.8
26-JUN-2019,7.4
25-JUN-2019,7.4
24-JUN-2019,7.3
21-JUN-2019,7.15
20-JUN-2019,7.3
19-JUN-2019,7.2
18-JUN-2019,7.3
17-JUN-2019,7.35
14-JUN-2019,7.6
13-JUN-2019,7.9
12-JUN-2019,7.75
11-JUN-2019,7.75
10-JUN-2019,7.8
07-JUN-2019,7.7
06-JUN-2019,7.85
04-JUN-2019,8.4
03-JUN-2019,8.45
31-MAY-2019,8.75
30-MAY-2019,9.15
