DATE,CLOSE
21-JAN-2020,68.55
20-JAN-2020,68.85
17-JAN-2020,71.0
16-JAN-2020,73.85
15-JAN-2020,72.15
14-JAN-2020,69.3
13-JAN-2020,70.05
10-JAN-2020,68.0
09-JAN-2020,67.55
08-JAN-2020,66.65
07-JAN-2020,68.75
06-JAN-2020,69.2
03-JAN-2020,72.6
02-JAN-2020,68.5
01-JAN-2020,57.1
31-DEC-2019,56.4
30-DEC-2019,55.95
27-DEC-2019,56.15
26-DEC-2019,56.05
24-DEC-2019,56.0
23-DEC-2019,58.0
20-DEC-2019,58.15
19-DEC-2019,58.2
18-DEC-2019,58.95
17-DEC-2019,58.9
16-DEC-2019,57.85
13-DEC-2019,58.75
12-DEC-2019,58.8
11-DEC-2019,58.1
10-DEC-2019,58.8
09-DEC-2019,61.7
06-DEC-2019,64.2
05-DEC-2019,62.85
04-DEC-2019,60.7
03-DEC-2019,61.7
02-DEC-2019,61.3
29-NOV-2019,60.7
28-NOV-2019,60.9
27-NOV-2019,62.1
26-NOV-2019,62.75
25-NOV-2019,63.85
22-NOV-2019,64.4
21-NOV-2019,60.45
20-NOV-2019,60.25
19-NOV-2019,60.35
18-NOV-2019,61.05
15-NOV-2019,60.75
14-NOV-2019,60.05
13-NOV-2019,62.05
11-NOV-2019,62.5
08-NOV-2019,62.55
07-NOV-2019,64.7
06-NOV-2019,64.45
05-NOV-2019,64.15
04-NOV-2019,64.45
01-NOV-2019,65.05
31-OCT-2019,64.95
30-OCT-2019,65.75
29-OCT-2019,64.4
27-OCT-2019,60.4
25-OCT-2019,61.1
24-OCT-2019,60.4
23-OCT-2019,60.5
22-OCT-2019,62.0
18-OCT-2019,61.3
17-OCT-2019,60.35
16-OCT-2019,60.75
15-OCT-2019,62.15
14-OCT-2019,63.1
11-OCT-2019,62.0
10-OCT-2019,60.55
09-OCT-2019,63.6
07-OCT-2019,62.3
04-OCT-2019,63.05
03-OCT-2019,63.95
01-OCT-2019,64.6
30-SEP-2019,69.05
27-SEP-2019,70.95
26-SEP-2019,72.95
25-SEP-2019,71.5
24-SEP-2019,74.3
23-SEP-2019,74.35
20-SEP-2019,72.25
19-SEP-2019,69.35
18-SEP-2019,70.6
17-SEP-2019,70.6
16-SEP-2019,71.15
13-SEP-2019,72.8
12-SEP-2019,76.4
11-SEP-2019,73.5
09-SEP-2019,69.0
06-SEP-2019,68.0
05-SEP-2019,67.35
04-SEP-2019,68.25
03-SEP-2019,68.0
30-AUG-2019,68.55
29-AUG-2019,67.65
28-AUG-2019,70.0
27-AUG-2019,69.5
26-AUG-2019,69.9
23-AUG-2019,67.1
22-AUG-2019,67.65
21-AUG-2019,69.55
20-AUG-2019,67.9
19-AUG-2019,68.45
16-AUG-2019,69.3
14-AUG-2019,70.25
13-AUG-2019,69.5
09-AUG-2019,69.05
08-AUG-2019,70.0
07-AUG-2019,70.2
06-AUG-2019,69.1
05-AUG-2019,70.3
02-AUG-2019,70.0
01-AUG-2019,71.8
31-JUL-2019,74.9
30-JUL-2019,73.75
29-JUL-2019,74.55
26-JUL-2019,73.15
25-JUL-2019,70.1
24-JUL-2019,68.75
23-JUL-2019,67.4
22-JUL-2019,69.85
19-JUL-2019,72.0
18-JUL-2019,75.3
17-JUL-2019,77.45
16-JUL-2019,79.05
15-JUL-2019,79.3
12-JUL-2019,78.6
11-JUL-2019,79.25
10-JUL-2019,79.1
09-JUL-2019,79.8
08-JUL-2019,81.3
05-JUL-2019,80.9
04-JUL-2019,83.45
03-JUL-2019,83.05
02-JUL-2019,82.4
01-JUL-2019,83.95
28-JUN-2019,82.65
27-JUN-2019,83.55
26-JUN-2019,80.95
25-JUN-2019,82.3
24-JUN-2019,82.45
21-JUN-2019,83.0
20-JUN-2019,83.85
19-JUN-2019,82.3
18-JUN-2019,84.35
17-JUN-2019,82.4
