DATE,CLOSE
21-JAN-2020,36.25
20-JAN-2020,34.85
17-JAN-2020,35.5
16-JAN-2020,32.3
15-JAN-2020,31.55
14-JAN-2020,33.2
13-JAN-2020,30.6
10-JAN-2020,30.6
09-JAN-2020,28.8
08-JAN-2020,28.15
07-JAN-2020,28.05
06-JAN-2020,28.15
03-JAN-2020,29.2
02-JAN-2020,30.05
01-JAN-2020,28.95
31-DEC-2019,28.9
30-DEC-2019,29.3
27-DEC-2019,29.4
26-DEC-2019,29.8
24-DEC-2019,29.35
23-DEC-2019,27.6
20-DEC-2019,27.75
19-DEC-2019,28.5
18-DEC-2019,27.75
17-DEC-2019,29.75
16-DEC-2019,27.05
13-DEC-2019,24.85
12-DEC-2019,24.85
11-DEC-2019,25.05
10-DEC-2019,25.25
09-DEC-2019,27.9
06-DEC-2019,25.4
05-DEC-2019,23.1
04-DEC-2019,23.0
03-DEC-2019,22.85
02-DEC-2019,22.6
29-NOV-2019,22.25
28-NOV-2019,22.9
27-NOV-2019,23.25
26-NOV-2019,23.85
25-NOV-2019,23.2
22-NOV-2019,22.1
21-NOV-2019,22.1
20-NOV-2019,23.0
19-NOV-2019,21.95
18-NOV-2019,20.95
15-NOV-2019,21.15
14-NOV-2019,22.25
13-NOV-2019,22.65
11-NOV-2019,23.6
08-NOV-2019,23.2
07-NOV-2019,23.8
06-NOV-2019,24.45
05-NOV-2019,24.4
04-NOV-2019,24.5
01-NOV-2019,24.35
31-OCT-2019,24.3
30-OCT-2019,24.3
29-OCT-2019,24.65
27-OCT-2019,24.7
25-OCT-2019,24.6
24-OCT-2019,24.7
23-OCT-2019,25.15
22-OCT-2019,26.0
18-OCT-2019,25.9
17-OCT-2019,25.9
16-OCT-2019,26.95
15-OCT-2019,25.7
14-OCT-2019,27.05
11-OCT-2019,28.45
10-OCT-2019,29.9
09-OCT-2019,31.45
07-OCT-2019,33.1
04-OCT-2019,34.8
03-OCT-2019,36.6
01-OCT-2019,38.5
30-SEP-2019,38.95
27-SEP-2019,35.45
26-SEP-2019,32.25
25-SEP-2019,29.35
24-SEP-2019,28.7
23-SEP-2019,29.2
20-SEP-2019,30.65
19-SEP-2019,30.9
18-SEP-2019,28.15
17-SEP-2019,26.1
16-SEP-2019,26.0
13-SEP-2019,28.4
12-SEP-2019,31.55
11-SEP-2019,29.45
09-SEP-2019,24.55
06-SEP-2019,21.75
05-SEP-2019,19.7
04-SEP-2019,19.2
03-SEP-2019,19.45
30-AUG-2019,19.95
29-AUG-2019,19.65
28-AUG-2019,18.75
27-AUG-2019,19.15
26-AUG-2019,18.95
23-AUG-2019,18.75
22-AUG-2019,19.85
21-AUG-2019,20.05
20-AUG-2019,19.95
19-AUG-2019,20.8
16-AUG-2019,22.4
14-AUG-2019,20.7
13-AUG-2019,22.15
09-AUG-2019,22.2
08-AUG-2019,18.5
07-AUG-2019,18.7
06-AUG-2019,18.6
05-AUG-2019,18.05
02-AUG-2019,18.95
01-AUG-2019,18.7
31-JUL-2019,18.65
30-JUL-2019,18.65
29-JUL-2019,19.05
26-JUL-2019,19.0
25-JUL-2019,19.05
24-JUL-2019,19.45
23-JUL-2019,19.3
22-JUL-2019,19.55
19-JUL-2019,20.1
18-JUL-2019,19.7
17-JUL-2019,20.2
16-JUL-2019,20.2
15-JUL-2019,20.1
12-JUL-2019,20.1
11-JUL-2019,20.35
10-JUL-2019,20.45
09-JUL-2019,20.1
08-JUL-2019,20.9
05-JUL-2019,20.95
04-JUL-2019,20.8
03-JUL-2019,20.75
02-JUL-2019,21.7
01-JUL-2019,21.9
28-JUN-2019,21.6
27-JUN-2019,21.65
26-JUN-2019,22.05
25-JUN-2019,22.8
24-JUN-2019,22.25
21-JUN-2019,22.8
20-JUN-2019,22.9
19-JUN-2019,21.65
18-JUN-2019,21.95
17-JUN-2019,22.95
14-JUN-2019,23.25
13-JUN-2019,24.3
12-JUN-2019,25.1
11-JUN-2019,24.55
10-JUN-2019,24.0
07-JUN-2019,24.95
06-JUN-2019,25.25
04-JUN-2019,26.0
03-JUN-2019,26.2
31-MAY-2019,25.95
30-MAY-2019,26.95
29-MAY-2019,26.25
28-MAY-2019,26.7
27-MAY-2019,27.7
24-MAY-2019,26.95
23-MAY-2019,26.05
22-MAY-2019,26.85
21-MAY-2019,25.6
20-MAY-2019,24.4
17-MAY-2019,23.25
16-MAY-2019,22.15
15-MAY-2019,22.35
