DATE,CLOSE
21-JAN-2020,36.25
20-JAN-2020,36.9
17-JAN-2020,36.65
16-JAN-2020,34.95
15-JAN-2020,33.65
14-JAN-2020,32.05
13-JAN-2020,30.55
10-JAN-2020,30.35
09-JAN-2020,30.5
08-JAN-2020,30.75
07-JAN-2020,31.65
06-JAN-2020,30.15
03-JAN-2020,31.7
02-JAN-2020,30.2
01-JAN-2020,28.8
31-DEC-2019,27.5
30-DEC-2019,28.1
27-DEC-2019,27.75
26-DEC-2019,27.7
24-DEC-2019,26.75
23-DEC-2019,27.5
20-DEC-2019,28.05
19-DEC-2019,28.0
18-DEC-2019,28.35
17-DEC-2019,28.15
16-DEC-2019,28.1
13-DEC-2019,28.35
12-DEC-2019,27.55
11-DEC-2019,27.5
10-DEC-2019,28.6
09-DEC-2019,27.25
06-DEC-2019,28.05
05-DEC-2019,28.75
04-DEC-2019,28.25
03-DEC-2019,28.8
02-DEC-2019,29.45
29-NOV-2019,29.4
28-NOV-2019,28.65
27-NOV-2019,27.75
26-NOV-2019,28.65
25-NOV-2019,29.35
22-NOV-2019,29.85
21-NOV-2019,30.3
20-NOV-2019,30.8
19-NOV-2019,32.0
18-NOV-2019,31.05
15-NOV-2019,31.6
14-NOV-2019,32.65
13-NOV-2019,33.35
11-NOV-2019,32.85
08-NOV-2019,31.3
07-NOV-2019,32.9
06-NOV-2019,34.15
05-NOV-2019,35.85
04-NOV-2019,37.7
01-NOV-2019,35.95
31-OCT-2019,34.25
30-OCT-2019,32.65
29-OCT-2019,29.7
27-OCT-2019,27.0
25-OCT-2019,26.2
24-OCT-2019,25.7
23-OCT-2019,25.95
22-OCT-2019,26.1
18-OCT-2019,25.95
17-OCT-2019,25.65
16-OCT-2019,25.7
15-OCT-2019,25.7
14-OCT-2019,25.8
11-OCT-2019,26.6
10-OCT-2019,25.85
09-OCT-2019,26.8
07-OCT-2019,27.5
04-OCT-2019,27.75
03-OCT-2019,29.1
01-OCT-2019,29.05
30-SEP-2019,29.85
27-SEP-2019,30.65
26-SEP-2019,30.85
25-SEP-2019,30.95
24-SEP-2019,31.95
23-SEP-2019,30.45
