DATE,CLOSE
21-JAN-2020,4.2
20-JAN-2020,4.3
17-JAN-2020,4.4
16-JAN-2020,4.45
15-JAN-2020,4.6
14-JAN-2020,4.55
13-JAN-2020,4.35
10-JAN-2020,4.15
09-JAN-2020,4.3
08-JAN-2020,4.4
07-JAN-2020,4.55
06-JAN-2020,4.7
03-JAN-2020,4.65
02-JAN-2020,4.75
01-JAN-2020,4.9
31-DEC-2019,4.7
30-DEC-2019,4.5
27-DEC-2019,4.65
26-DEC-2019,4.8
24-DEC-2019,4.75
23-DEC-2019,4.8
20-DEC-2019,4.8
19-DEC-2019,4.9
18-DEC-2019,4.8
17-DEC-2019,4.7
16-DEC-2019,4.5
13-DEC-2019,4.65
12-DEC-2019,4.55
11-DEC-2019,4.55
10-DEC-2019,4.7
09-DEC-2019,4.6
06-DEC-2019,4.55
05-DEC-2019,4.55
04-DEC-2019,4.7
03-DEC-2019,4.85
02-DEC-2019,5.1
29-NOV-2019,4.95
28-NOV-2019,4.9
27-NOV-2019,5.15
26-NOV-2019,5.4
25-NOV-2019,5.45
22-NOV-2019,5.2
21-NOV-2019,5.15
20-NOV-2019,4.95
19-NOV-2019,4.8
18-NOV-2019,4.6
15-NOV-2019,4.4
14-NOV-2019,4.6
13-NOV-2019,4.65
11-NOV-2019,4.45
08-NOV-2019,4.25
07-NOV-2019,4.05
06-NOV-2019,3.9
05-NOV-2019,3.75
04-NOV-2019,3.75
01-NOV-2019,3.6
31-OCT-2019,3.65
30-OCT-2019,3.8
29-OCT-2019,3.8
27-OCT-2019,3.8
25-OCT-2019,3.7
24-OCT-2019,3.6
23-OCT-2019,3.7
22-OCT-2019,3.55
18-OCT-2019,3.6
17-OCT-2019,3.45
16-OCT-2019,3.55
15-OCT-2019,3.7
14-OCT-2019,3.8
11-OCT-2019,4.0
10-OCT-2019,4.0
09-OCT-2019,4.2
07-OCT-2019,4.0
04-OCT-2019,4.15
03-OCT-2019,4.2
01-OCT-2019,4.0
30-SEP-2019,3.85
27-SEP-2019,3.7
26-SEP-2019,3.75
25-SEP-2019,3.6
24-SEP-2019,3.45
23-SEP-2019,3.45
20-SEP-2019,3.55
19-SEP-2019,3.7
18-SEP-2019,3.8
17-SEP-2019,3.95
16-SEP-2019,4.0
13-SEP-2019,4.2
12-SEP-2019,4.4
11-SEP-2019,4.6
09-SEP-2019,4.7
06-SEP-2019,4.6
05-SEP-2019,4.8
04-SEP-2019,4.65
03-SEP-2019,4.85
30-AUG-2019,5.1
29-AUG-2019,5.0
28-AUG-2019,4.95
27-AUG-2019,4.9
26-AUG-2019,4.75
23-AUG-2019,4.95
22-AUG-2019,5.2
21-AUG-2019,5.05
20-AUG-2019,4.85
19-AUG-2019,4.65
16-AUG-2019,4.45
14-AUG-2019,4.25
13-AUG-2019,4.05
09-AUG-2019,3.9
08-AUG-2019,3.75
07-AUG-2019,3.6
06-AUG-2019,3.45
05-AUG-2019,3.3
02-AUG-2019,3.15
01-AUG-2019,3.0
31-JUL-2019,2.9
30-JUL-2019,2.8
29-JUL-2019,2.7
26-JUL-2019,2.6
25-JUL-2019,2.5
24-JUL-2019,2.4
23-JUL-2019,2.5
22-JUL-2019,2.4
19-JUL-2019,2.35
18-JUL-2019,2.4
17-JUL-2019,2.5
16-JUL-2019,2.4
15-JUL-2019,2.5
12-JUL-2019,2.55
11-JUL-2019,2.55
10-JUL-2019,2.65
09-JUL-2019,2.75
08-JUL-2019,2.85
05-JUL-2019,2.9
04-JUL-2019,2.8
03-JUL-2019,2.85
02-JUL-2019,2.95
01-JUL-2019,3.1
28-JUN-2019,3.25
27-JUN-2019,3.3
26-JUN-2019,3.2
25-JUN-2019,3.3
24-JUN-2019,3.45
21-JUN-2019,3.5
20-JUN-2019,3.55
19-JUN-2019,3.5
18-JUN-2019,3.65
17-JUN-2019,3.8
14-JUN-2019,4.0
13-JUN-2019,4.1
12-JUN-2019,4.2
11-JUN-2019,4.2
10-JUN-2019,4.4
07-JUN-2019,4.25
06-JUN-2019,4.45
04-JUN-2019,4.45
03-JUN-2019,4.5
31-MAY-2019,4.7
30-MAY-2019,4.85
29-MAY-2019,4.7
28-MAY-2019,4.5
27-MAY-2019,4.3
24-MAY-2019,4.1
23-MAY-2019,3.95
22-MAY-2019,3.8
21-MAY-2019,3.65
20-MAY-2019,3.5
17-MAY-2019,3.6
16-MAY-2019,3.75
15-MAY-2019,3.9
14-MAY-2019,4.1
13-MAY-2019,4.3
10-MAY-2019,4.5
09-MAY-2019,4.7
08-MAY-2019,4.9
07-MAY-2019,5.15
06-MAY-2019,5.4
03-MAY-2019,5.65
02-MAY-2019,5.9
30-APR-2019,6.2
26-APR-2019,6.5
25-APR-2019,6.4
24-APR-2019,6.4
23-APR-2019,6.55
22-APR-2019,6.6
18-APR-2019,6.9
16-APR-2019,6.9
15-APR-2019,7.0
12-APR-2019,7.0
11-APR-2019,6.85
10-APR-2019,6.75
09-APR-2019,7.1
08-APR-2019,7.45
05-APR-2019,7.55
04-APR-2019,7.45
03-APR-2019,7.25
02-APR-2019,6.95
01-APR-2019,6.65
29-MAR-2019,6.85
28-MAR-2019,7.0
27-MAR-2019,7.15
26-MAR-2019,7.45
25-MAR-2019,7.8
22-MAR-2019,8.0
20-MAR-2019,7.9
19-MAR-2019,7.9
18-MAR-2019,8.0
15-MAR-2019,8.0
14-MAR-2019,8.0
13-MAR-2019,8.2
12-MAR-2019,8.5
11-MAR-2019,8.45
08-MAR-2019,8.5
07-MAR-2019,8.5
06-MAR-2019,8.4
05-MAR-2019,8.15
01-MAR-2019,8.5
28-FEB-2019,8.55
27-FEB-2019,8.55
26-FEB-2019,8.15
25-FEB-2019,7.8
22-FEB-2019,7.45
21-FEB-2019,7.35
20-FEB-2019,7.65
19-FEB-2019,7.9
18-FEB-2019,8.3
15-FEB-2019,7.95
14-FEB-2019,7.95
13-FEB-2019,8.25
12-FEB-2019,8.15
11-FEB-2019,7.8
08-FEB-2019,8.0
07-FEB-2019,7.85
06-FEB-2019,8.15
05-FEB-2019,8.55
04-FEB-2019,8.8
01-FEB-2019,8.75
31-JAN-2019,9.15
30-JAN-2019,9.45
29-JAN-2019,9.35
28-JAN-2019,9.1
25-JAN-2019,8.7
24-JAN-2019,9.15
23-JAN-2019,9.0
22-JAN-2019,9.15
21-JAN-2019,9.4
18-JAN-2019,9.85
17-JAN-2019,10.35
16-JAN-2019,10.65
15-JAN-2019,10.15
14-JAN-2019,9.7
11-JAN-2019,9.25
10-JAN-2019,8.85
09-JAN-2019,9.0
08-JAN-2019,9.15
07-JAN-2019,8.85
04-JAN-2019,9.3
03-JAN-2019,9.7
02-JAN-2019,9.25
01-JAN-2019,9.7
31-DEC-2018,10.2
28-DEC-2018,10.7
27-DEC-2018,10.7
26-DEC-2018,11.2
24-DEC-2018,11.7
21-DEC-2018,12.25
20-DEC-2018,12.05
19-DEC-2018,12.25
18-DEC-2018,12.1
17-DEC-2018,12.2
14-DEC-2018,12.1
13-DEC-2018,12.0
12-DEC-2018,12.0
11-DEC-2018,11.95
10-DEC-2018,12.55
07-DEC-2018,13.2
06-DEC-2018,13.1
05-DEC-2018,13.05
04-DEC-2018,12.55
03-DEC-2018,12.8
30-NOV-2018,12.3
29-NOV-2018,12.8
28-NOV-2018,13.3
27-NOV-2018,13.7
26-NOV-2018,14.0
22-NOV-2018,13.95
21-NOV-2018,14.25
20-NOV-2018,14.95
19-NOV-2018,15.7
16-NOV-2018,16.5
15-NOV-2018,17.35
14-NOV-2018,17.4
13-NOV-2018,17.5
12-NOV-2018,17.45
09-NOV-2018,17.5
07-NOV-2018,16.7
06-NOV-2018,15.95
05-NOV-2018,15.2
02-NOV-2018,14.5
01-NOV-2018,13.85
