DATE,CLOSE
21-JAN-2020,31.3
20-JAN-2020,5.75
17-JAN-2020,32.0
16-JAN-2020,5.70
15-JAN-2020,34.05
14-JAN-2020,33.5
13-JAN-2020,33.2
10-JAN-2020,6.0
09-JAN-2020,6.00
08-JAN-2020,5.35
07-JAN-2020,5.70
06-JAN-2020,5.55
03-JAN-2020,32.8
02-JAN-2020,32.85
01-JAN-2020,5.7
31-DEC-2019,5.70
30-DEC-2019,5.65
27-DEC-2019,5.6
26-DEC-2019,5.70
24-DEC-2019,5.6
23-DEC-2019,5.60
20-DEC-2019,5.7
19-DEC-2019,5.6
18-DEC-2019,5.60
17-DEC-2019,28.25
16-DEC-2019,5.50
13-DEC-2019,28.2
12-DEC-2019,5.50
11-DEC-2019,5.50
10-DEC-2019,5.4
09-DEC-2019,5.5
06-DEC-2019,5.35
05-DEC-2019,26.6
04-DEC-2019,5.25
03-DEC-2019,5.35
02-DEC-2019,27.75
29-NOV-2019,5.35
28-NOV-2019,5.35
27-NOV-2019,5.2
26-NOV-2019,28.8
25-NOV-2019,5.20
22-NOV-2019,5.3
21-NOV-2019,5.5
20-NOV-2019,5.4
19-NOV-2019,31.1
18-NOV-2019,5.45
15-NOV-2019,5.25
14-NOV-2019,5.00
13-NOV-2019,5.2
11-NOV-2019,33.4
08-NOV-2019,5.2
07-NOV-2019,5.30
06-NOV-2019,5.35
05-NOV-2019,34.1
04-NOV-2019,5.1
01-NOV-2019,5.15
31-OCT-2019,32.05
30-OCT-2019,5.35
29-OCT-2019,31.8
27-OCT-2019,31.0
25-OCT-2019,30.95
24-OCT-2019,5.35
23-OCT-2019,5.30
22-OCT-2019,5.05
18-OCT-2019,31.85
17-OCT-2019,31.15
16-OCT-2019,5.10
15-OCT-2019,29.4
14-OCT-2019,5.00
11-OCT-2019,5.00
10-OCT-2019,29.25
09-OCT-2019,28.5
07-OCT-2019,4.5
04-OCT-2019,31.25
03-OCT-2019,31.05
01-OCT-2019,4.75
30-SEP-2019,4.55
27-SEP-2019,4.75
26-SEP-2019,5.1
25-SEP-2019,4.60
24-SEP-2019,35.55
23-SEP-2019,5.0
20-SEP-2019,5.00
19-SEP-2019,6.00
18-SEP-2019,6.5
17-SEP-2019,6.25
16-SEP-2019,37.45
13-SEP-2019,7.25
12-SEP-2019,6.05
11-SEP-2019,6.95
09-SEP-2019,5.80
06-SEP-2019,4.85
05-SEP-2019,6.05
04-SEP-2019,5.65
03-SEP-2019,6.2
30-AUG-2019,34.0
29-AUG-2019,7.75
28-AUG-2019,6.55
27-AUG-2019,6.50
26-AUG-2019,7.0
23-AUG-2019,8.75
22-AUG-2019,7.3
21-AUG-2019,32.0
20-AUG-2019,31.05
19-AUG-2019,6.10
16-AUG-2019,6.1
14-AUG-2019,34.25
13-AUG-2019,6.1
09-AUG-2019,6.05
08-AUG-2019,34.4
07-AUG-2019,6.05
06-AUG-2019,35.0
05-AUG-2019,6.00
02-AUG-2019,6.0
01-AUG-2019,29.6
31-JUL-2019,6.00
30-JUL-2019,6.00
29-JUL-2019,6.0
26-JUL-2019,29.85
25-JUL-2019,6.00
24-JUL-2019,5.0
23-JUL-2019,36.35
22-JUL-2019,6.05
19-JUL-2019,35.4
18-JUL-2019,6.00
17-JUL-2019,6.10
16-JUL-2019,6.0
15-JUL-2019,6.00
12-JUL-2019,36.05
11-JUL-2019,6.00
10-JUL-2019,6.00
09-JUL-2019,42.5
08-JUL-2019,43.1
05-JUL-2019,44.0
04-JUL-2019,6.1
03-JUL-2019,44.05
02-JUL-2019,6.1
01-JUL-2019,6.0
28-JUN-2019,6.25
