DATE,CLOSE
21-JAN-2020,57.4
20-JAN-2020,58.2
17-JAN-2020,59.65
16-JAN-2020,59.95
15-JAN-2020,60.0
14-JAN-2020,57.95
13-JAN-2020,57.15
10-JAN-2020,56.5
09-JAN-2020,56.3
08-JAN-2020,53.75
07-JAN-2020,55.35
06-JAN-2020,55.0
03-JAN-2020,58.1
02-JAN-2020,58.45
01-JAN-2020,55.0
31-DEC-2019,56.0
30-DEC-2019,55.25
27-DEC-2019,53.0
26-DEC-2019,52.85
24-DEC-2019,53.95
23-DEC-2019,54.2
20-DEC-2019,54.3
19-DEC-2019,54.0
18-DEC-2019,54.25
17-DEC-2019,53.4
16-DEC-2019,52.95
13-DEC-2019,53.85
12-DEC-2019,52.4
11-DEC-2019,50.95
10-DEC-2019,50.3
09-DEC-2019,51.9
06-DEC-2019,52.4
05-DEC-2019,55.65
04-DEC-2019,56.35
03-DEC-2019,55.25
02-DEC-2019,57.95
29-NOV-2019,59.45
28-NOV-2019,58.6
27-NOV-2019,57.05
26-NOV-2019,59.25
25-NOV-2019,61.35
22-NOV-2019,60.35
21-NOV-2019,61.95
20-NOV-2019,61.2
19-NOV-2019,57.05
18-NOV-2019,56.65
15-NOV-2019,55.75
14-NOV-2019,54.7
13-NOV-2019,56.15
11-NOV-2019,57.7
08-NOV-2019,58.45
07-NOV-2019,55.55
06-NOV-2019,55.95
05-NOV-2019,58.1
04-NOV-2019,58.0
01-NOV-2019,59.15
31-OCT-2019,57.8
30-OCT-2019,58.45
29-OCT-2019,56.8
27-OCT-2019,53.8
25-OCT-2019,53.65
24-OCT-2019,53.6
23-OCT-2019,56.1
22-OCT-2019,53.7
18-OCT-2019,53.35
17-OCT-2019,50.7
16-OCT-2019,48.55
15-OCT-2019,49.3
14-OCT-2019,48.1
11-OCT-2019,48.95
10-OCT-2019,49.55
09-OCT-2019,52.2
07-OCT-2019,47.1
04-OCT-2019,51.3
03-OCT-2019,52.85
01-OCT-2019,52.85
30-SEP-2019,55.05
27-SEP-2019,58.35
26-SEP-2019,61.75
25-SEP-2019,61.45
24-SEP-2019,64.75
23-SEP-2019,68.1
20-SEP-2019,60.6
19-SEP-2019,51.65
18-SEP-2019,53.8
17-SEP-2019,53.8
16-SEP-2019,57.85
13-SEP-2019,58.85
12-SEP-2019,60.1
11-SEP-2019,58.85
09-SEP-2019,58.35
06-SEP-2019,56.95
05-SEP-2019,56.0
04-SEP-2019,54.85
03-SEP-2019,54.05
30-AUG-2019,54.9
29-AUG-2019,56.1
28-AUG-2019,59.25
27-AUG-2019,59.9
26-AUG-2019,55.75
23-AUG-2019,53.9
22-AUG-2019,51.85
21-AUG-2019,54.85
20-AUG-2019,58.1
19-AUG-2019,61.15
16-AUG-2019,62.4
14-AUG-2019,64.6
13-AUG-2019,63.8
09-AUG-2019,68.6
08-AUG-2019,70.95
07-AUG-2019,73.15
06-AUG-2019,76.05
05-AUG-2019,71.95
02-AUG-2019,72.75
01-AUG-2019,71.7
31-JUL-2019,73.15
30-JUL-2019,69.25
29-JUL-2019,73.3
26-JUL-2019,75.25
25-JUL-2019,74.2
24-JUL-2019,75.4
23-JUL-2019,78.9
22-JUL-2019,79.95
19-JUL-2019,78.65
18-JUL-2019,80.7
17-JUL-2019,83.1
16-JUL-2019,84.45
15-JUL-2019,84.5
12-JUL-2019,87.45
