DATE,CLOSE
21-JAN-2020,32.15
20-JAN-2020,32.35
17-JAN-2020,32.6
16-JAN-2020,32.7
15-JAN-2020,32.25
14-JAN-2020,32.05
13-JAN-2020,31.45
10-JAN-2020,30.9
09-JAN-2020,29.6
08-JAN-2020,28.4
07-JAN-2020,29.2
06-JAN-2020,28.55
03-JAN-2020,29.75
02-JAN-2020,30.5
01-JAN-2020,29.85
31-DEC-2019,29.95
30-DEC-2019,30.65
27-DEC-2019,29.85
26-DEC-2019,30.8
24-DEC-2019,30.5
23-DEC-2019,29.9
20-DEC-2019,29.35
19-DEC-2019,29.4
18-DEC-2019,29.05
17-DEC-2019,28.7
16-DEC-2019,27.35
13-DEC-2019,27.55
12-DEC-2019,27.35
11-DEC-2019,26.95
10-DEC-2019,28.25
09-DEC-2019,29.5
06-DEC-2019,31.05
05-DEC-2019,32.6
04-DEC-2019,31.05
03-DEC-2019,29.6
02-DEC-2019,28.2
29-NOV-2019,28.85
28-NOV-2019,29.3
27-NOV-2019,30.6
26-NOV-2019,31.65
25-NOV-2019,30.3
22-NOV-2019,28.9
21-NOV-2019,27.55
20-NOV-2019,26.25
19-NOV-2019,25.0
18-NOV-2019,23.85
15-NOV-2019,22.75
14-NOV-2019,22.95
13-NOV-2019,23.5
11-NOV-2019,23.1
08-NOV-2019,22.8
07-NOV-2019,23.45
06-NOV-2019,24.1
05-NOV-2019,23.45
04-NOV-2019,23.95
01-NOV-2019,24.05
31-OCT-2019,24.3
30-OCT-2019,24.0
29-OCT-2019,24.4
27-OCT-2019,23.25
25-OCT-2019,23.05
24-OCT-2019,22.65
23-OCT-2019,23.2
22-OCT-2019,23.8
18-OCT-2019,24.3
17-OCT-2019,23.5
16-OCT-2019,23.75
15-OCT-2019,23.95
14-OCT-2019,24.55
11-OCT-2019,24.95
10-OCT-2019,23.8
09-OCT-2019,22.95
07-OCT-2019,22.9
04-OCT-2019,25.05
03-OCT-2019,25.6
01-OCT-2019,25.7
30-SEP-2019,25.55
27-SEP-2019,26.75
26-SEP-2019,26.15
25-SEP-2019,26.55
24-SEP-2019,27.05
23-SEP-2019,27.6
