DATE,CLOSE
21-JAN-2020,19.5
20-JAN-2020,19.9
17-JAN-2020,20.1
16-JAN-2020,20.15
15-JAN-2020,20.0
14-JAN-2020,20.05
13-JAN-2020,19.75
10-JAN-2020,20.0
09-JAN-2020,19.8
08-JAN-2020,18.5
07-JAN-2020,18.2
06-JAN-2020,18.15
03-JAN-2020,19.2
02-JAN-2020,19.8
01-JAN-2020,19.15
31-DEC-2019,18.45
30-DEC-2019,17.8
27-DEC-2019,16.9
26-DEC-2019,16.25
24-DEC-2019,16.65
23-DEC-2019,17.0
20-DEC-2019,17.0
19-DEC-2019,17.1
18-DEC-2019,17.2
17-DEC-2019,17.45
16-DEC-2019,17.0
13-DEC-2019,17.25
12-DEC-2019,17.35
11-DEC-2019,17.05
10-DEC-2019,17.15
09-DEC-2019,17.3
06-DEC-2019,18.15
05-DEC-2019,18.2
04-DEC-2019,18.25
03-DEC-2019,18.25
02-DEC-2019,18.85
29-NOV-2019,18.4
28-NOV-2019,18.4
27-NOV-2019,18.5
26-NOV-2019,19.1
25-NOV-2019,19.3
22-NOV-2019,18.25
21-NOV-2019,18.55
20-NOV-2019,18.2
19-NOV-2019,17.8
18-NOV-2019,17.9
15-NOV-2019,18.0
14-NOV-2019,17.8
13-NOV-2019,18.45
11-NOV-2019,18.85
08-NOV-2019,20.2
07-NOV-2019,19.9
06-NOV-2019,20.05
05-NOV-2019,20.5
04-NOV-2019,20.75
01-NOV-2019,20.35
31-OCT-2019,20.7
30-OCT-2019,21.0
29-OCT-2019,20.15
27-OCT-2019,18.95
25-OCT-2019,18.8
24-OCT-2019,18.8
23-OCT-2019,18.95
22-OCT-2019,18.65
18-OCT-2019,18.9
17-OCT-2019,18.95
16-OCT-2019,19.1
15-OCT-2019,18.85
14-OCT-2019,18.8
11-OCT-2019,18.7
10-OCT-2019,18.35
09-OCT-2019,18.6
07-OCT-2019,18.75
04-OCT-2019,18.85
03-OCT-2019,19.15
01-OCT-2019,19.2
30-SEP-2019,20.0
27-SEP-2019,21.4
26-SEP-2019,21.8
25-SEP-2019,22.0
24-SEP-2019,23.0
23-SEP-2019,22.05
20-SEP-2019,22.25
19-SEP-2019,21.0
18-SEP-2019,21.6
17-SEP-2019,21.8
16-SEP-2019,22.4
13-SEP-2019,22.35
12-SEP-2019,22.05
11-SEP-2019,22.3
09-SEP-2019,20.45
06-SEP-2019,20.4
05-SEP-2019,20.5
04-SEP-2019,19.55
03-SEP-2019,19.5
30-AUG-2019,19.65
29-AUG-2019,19.5
28-AUG-2019,20.45
27-AUG-2019,20.55
26-AUG-2019,19.1
23-AUG-2019,18.65
22-AUG-2019,18.55
21-AUG-2019,19.15
20-AUG-2019,19.65
19-AUG-2019,19.75
16-AUG-2019,19.85
14-AUG-2019,20.7
13-AUG-2019,21.8
09-AUG-2019,23.05
08-AUG-2019,22.1
07-AUG-2019,21.35
06-AUG-2019,19.8
05-AUG-2019,18.3
02-AUG-2019,18.85
01-AUG-2019,18.5
31-JUL-2019,18.5
30-JUL-2019,19.05
29-JUL-2019,20.25
26-JUL-2019,19.15
25-JUL-2019,19.05
24-JUL-2019,19.1
23-JUL-2019,19.0
22-JUL-2019,18.3
19-JUL-2019,18.65
18-JUL-2019,18.6
17-JUL-2019,19.45
16-JUL-2019,18.9
15-JUL-2019,18.3
12-JUL-2019,18.9
11-JUL-2019,18.95
10-JUL-2019,18.75
09-JUL-2019,19.1
08-JUL-2019,19.0
05-JUL-2019,19.6
04-JUL-2019,19.95
03-JUL-2019,19.75
02-JUL-2019,20.15
01-JUL-2019,20.1
28-JUN-2019,19.85
27-JUN-2019,20.0
26-JUN-2019,19.95
25-JUN-2019,19.85
24-JUN-2019,20.25
21-JUN-2019,19.3
20-JUN-2019,20.25
19-JUN-2019,18.95
18-JUN-2019,21.35
17-JUN-2019,22.2
14-JUN-2019,22.65
13-JUN-2019,21.85
12-JUN-2019,21.95
11-JUN-2019,22.1
10-JUN-2019,22.9
07-JUN-2019,23.85
06-JUN-2019,24.95
04-JUN-2019,25.7
03-JUN-2019,25.65
31-MAY-2019,26.7
30-MAY-2019,26.95
29-MAY-2019,26.55
28-MAY-2019,27.3
27-MAY-2019,27.35
24-MAY-2019,25.15
23-MAY-2019,24.35
22-MAY-2019,23.8
21-MAY-2019,24.0
20-MAY-2019,24.3
17-MAY-2019,22.9
16-MAY-2019,21.55
15-MAY-2019,22.45
14-MAY-2019,23.1
13-MAY-2019,23.15
10-MAY-2019,24.45
09-MAY-2019,24.3
08-MAY-2019,24.35
07-MAY-2019,24.45
06-MAY-2019,24.75
03-MAY-2019,25.05
02-MAY-2019,25.15
30-APR-2019,25.3
26-APR-2019,25.65
25-APR-2019,26.35
24-APR-2019,26.45
23-APR-2019,26.8
22-APR-2019,26.75
18-APR-2019,26.35
16-APR-2019,27.3
15-APR-2019,27.5
12-APR-2019,26.5
11-APR-2019,27.45
10-APR-2019,27.5
09-APR-2019,27.9
08-APR-2019,28.15
05-APR-2019,28.1
04-APR-2019,28.55
03-APR-2019,28.65
02-APR-2019,29.1
01-APR-2019,28.45
29-MAR-2019,28.2
28-MAR-2019,28.55
27-MAR-2019,27.65
26-MAR-2019,27.6
25-MAR-2019,27.45
22-MAR-2019,28.65
20-MAR-2019,29.55
19-MAR-2019,30.3
18-MAR-2019,30.45
15-MAR-2019,30.4
14-MAR-2019,30.65
13-MAR-2019,31.7
12-MAR-2019,32.35
11-MAR-2019,32.8
08-MAR-2019,33.0
07-MAR-2019,31.65
06-MAR-2019,31.2
05-MAR-2019,27.9
01-MAR-2019,26.35
28-FEB-2019,25.2
27-FEB-2019,25.0
26-FEB-2019,26.0
25-FEB-2019,26.2
22-FEB-2019,24.85
21-FEB-2019,24.3
20-FEB-2019,24.65
19-FEB-2019,24.25
18-FEB-2019,23.7
15-FEB-2019,24.05
14-FEB-2019,23.85
13-FEB-2019,24.6
12-FEB-2019,25.55
11-FEB-2019,25.7
08-FEB-2019,25.6
07-FEB-2019,26.15
06-FEB-2019,26.2
05-FEB-2019,25.45
04-FEB-2019,25.8
01-FEB-2019,26.5
31-JAN-2019,26.8
30-JAN-2019,27.0
29-JAN-2019,27.6
28-JAN-2019,26.9
25-JAN-2019,28.45
24-JAN-2019,29.6
23-JAN-2019,30.35
22-JAN-2019,30.45
21-JAN-2019,31.2
18-JAN-2019,30.55
17-JAN-2019,30.55
16-JAN-2019,30.7
15-JAN-2019,30.5
14-JAN-2019,30.75
11-JAN-2019,30.95
10-JAN-2019,31.7
09-JAN-2019,31.4
08-JAN-2019,32.45
07-JAN-2019,31.85
04-JAN-2019,32.6
03-JAN-2019,31.8
02-JAN-2019,31.95
01-JAN-2019,32.65
31-DEC-2018,31.75
28-DEC-2018,31.05
27-DEC-2018,30.6
26-DEC-2018,31.1
24-DEC-2018,31.7
21-DEC-2018,32.1
20-DEC-2018,33.4
19-DEC-2018,33.6
18-DEC-2018,32.5
17-DEC-2018,32.05
14-DEC-2018,32.05
13-DEC-2018,31.6
12-DEC-2018,31.65
11-DEC-2018,30.6
10-DEC-2018,29.75
07-DEC-2018,31.25
06-DEC-2018,31.95
05-DEC-2018,32.1
04-DEC-2018,32.8
03-DEC-2018,32.7
30-NOV-2018,32.65
29-NOV-2018,33.2
28-NOV-2018,33.0
27-NOV-2018,33.8
26-NOV-2018,34.05
22-NOV-2018,33.4
21-NOV-2018,33.8
20-NOV-2018,32.35
19-NOV-2018,32.4
16-NOV-2018,32.75
15-NOV-2018,34.8
14-NOV-2018,35.6
13-NOV-2018,34.2
12-NOV-2018,35.15
09-NOV-2018,36.6
07-NOV-2018,37.25
06-NOV-2018,36.0
05-NOV-2018,31.05
02-NOV-2018,30.55
01-NOV-2018,28.9
31-OCT-2018,27.55
30-OCT-2018,26.9
29-OCT-2018,27.05
26-OCT-2018,26.1
25-OCT-2018,26.35
24-OCT-2018,26.95
23-OCT-2018,27.4
22-OCT-2018,27.5
19-OCT-2018,28.95
17-OCT-2018,29.75
16-OCT-2018,30.85
15-OCT-2018,29.45
12-OCT-2018,29.15
11-OCT-2018,27.8
10-OCT-2018,28.1
09-OCT-2018,27.05
08-OCT-2018,27.25
05-OCT-2018,28.8
04-OCT-2018,30.3
03-OCT-2018,29.3
01-OCT-2018,27.45
28-SEP-2018,27.7
27-SEP-2018,30.35
26-SEP-2018,31.35
25-SEP-2018,28.25
24-SEP-2018,29.15
21-SEP-2018,30.55
19-SEP-2018,34.0
18-SEP-2018,34.3
17-SEP-2018,34.55
14-SEP-2018,35.7
12-SEP-2018,33.4
11-SEP-2018,34.3
10-SEP-2018,35.3
07-SEP-2018,36.35
06-SEP-2018,34.8
05-SEP-2018,35.05
04-SEP-2018,34.85
03-SEP-2018,36.85
31-AUG-2018,37.2
30-AUG-2018,36.3
29-AUG-2018,35.9
28-AUG-2018,36.15
27-AUG-2018,37.45
24-AUG-2018,37.2
23-AUG-2018,36.95
21-AUG-2018,36.35
20-AUG-2018,36.1
17-AUG-2018,36.3
16-AUG-2018,36.1
14-AUG-2018,37.9
13-AUG-2018,37.3
10-AUG-2018,37.8
09-AUG-2018,38.1
08-AUG-2018,38.3
07-AUG-2018,39.0
06-AUG-2018,40.35
03-AUG-2018,40.8
02-AUG-2018,39.65
01-AUG-2018,40.45
31-JUL-2018,39.6
30-JUL-2018,39.4
27-JUL-2018,39.7
26-JUL-2018,37.5
25-JUL-2018,38.4
