DATE,CLOSE
21-JAN-2020,39.85
20-JAN-2020,40.4
17-JAN-2020,40.45
16-JAN-2020,40.05
15-JAN-2020,40.4
14-JAN-2020,39.95
13-JAN-2020,40.6
10-JAN-2020,39.85
09-JAN-2020,39.75
08-JAN-2020,38.1
07-JAN-2020,39.8
06-JAN-2020,41.2
03-JAN-2020,42.0
02-JAN-2020,42.4
01-JAN-2020,42.3
31-DEC-2019,43.7
30-DEC-2019,43.8
27-DEC-2019,42.2
26-DEC-2019,40.2
24-DEC-2019,38.3
23-DEC-2019,37.0
20-DEC-2019,36.75
19-DEC-2019,37.55
18-DEC-2019,37.15
17-DEC-2019,37.7
16-DEC-2019,36.9
13-DEC-2019,37.0
12-DEC-2019,37.05
11-DEC-2019,38.95
10-DEC-2019,40.95
09-DEC-2019,42.9
06-DEC-2019,42.75
05-DEC-2019,42.7
04-DEC-2019,43.25
03-DEC-2019,41.45
02-DEC-2019,42.2
29-NOV-2019,42.8
28-NOV-2019,42.55
27-NOV-2019,42.7
26-NOV-2019,41.85
25-NOV-2019,40.75
22-NOV-2019,39.35
21-NOV-2019,39.45
20-NOV-2019,37.5
19-NOV-2019,38.25
18-NOV-2019,37.8
15-NOV-2019,36.0
14-NOV-2019,32.75
13-NOV-2019,32.05
11-NOV-2019,31.0
08-NOV-2019,30.3
07-NOV-2019,29.7
06-NOV-2019,32.1
05-NOV-2019,34.95
04-NOV-2019,34.9
01-NOV-2019,32.7
31-OCT-2019,32.1
30-OCT-2019,31.45
29-OCT-2019,30.75
27-OCT-2019,30.1
25-OCT-2019,28.9
24-OCT-2019,29.95
23-OCT-2019,30.75
22-OCT-2019,30.65
18-OCT-2019,30.4
17-OCT-2019,28.65
16-OCT-2019,29.45
15-OCT-2019,30.1
14-OCT-2019,28.9
11-OCT-2019,27.4
10-OCT-2019,25.95
09-OCT-2019,24.65
07-OCT-2019,24.4
04-OCT-2019,27.05
03-OCT-2019,27.6
01-OCT-2019,27.45
30-SEP-2019,30.3
27-SEP-2019,29.4
26-SEP-2019,28.5
25-SEP-2019,27.3
24-SEP-2019,33.85
23-SEP-2019,33.65
20-SEP-2019,30.05
19-SEP-2019,31.25
18-SEP-2019,39.05
17-SEP-2019,39.3
16-SEP-2019,39.5
13-SEP-2019,40.05
12-SEP-2019,39.85
11-SEP-2019,39.8
09-SEP-2019,40.95
06-SEP-2019,40.25
05-SEP-2019,38.85
04-SEP-2019,38.7
03-SEP-2019,40.1
30-AUG-2019,38.75
29-AUG-2019,39.0
28-AUG-2019,39.3
27-AUG-2019,39.6
26-AUG-2019,39.5
23-AUG-2019,38.15
22-AUG-2019,39.1
21-AUG-2019,38.85
20-AUG-2019,40.0
19-AUG-2019,40.05
16-AUG-2019,39.0
14-AUG-2019,39.6
13-AUG-2019,41.95
09-AUG-2019,42.25
08-AUG-2019,40.2
07-AUG-2019,40.2
06-AUG-2019,41.4
05-AUG-2019,40.35
02-AUG-2019,40.15
01-AUG-2019,40.2
31-JUL-2019,41.45
30-JUL-2019,40.75
29-JUL-2019,44.15
26-JUL-2019,43.95
25-JUL-2019,44.15
24-JUL-2019,45.45
23-JUL-2019,45.5
22-JUL-2019,45.7
19-JUL-2019,45.8
18-JUL-2019,45.45
17-JUL-2019,47.1
16-JUL-2019,44.8
15-JUL-2019,47.1
12-JUL-2019,49.85
11-JUL-2019,53.05
10-JUL-2019,51.35
09-JUL-2019,51.7
08-JUL-2019,54.7
05-JUL-2019,56.55
04-JUL-2019,57.45
03-JUL-2019,58.25
02-JUL-2019,58.6
01-JUL-2019,59.6
28-JUN-2019,60.05
27-JUN-2019,63.1
26-JUN-2019,62.95
25-JUN-2019,60.6
24-JUN-2019,60.9
21-JUN-2019,63.0
20-JUN-2019,62.05
19-JUN-2019,60.6
18-JUN-2019,65.45
17-JUN-2019,65.3
14-JUN-2019,65.35
13-JUN-2019,65.8
12-JUN-2019,65.0
11-JUN-2019,65.35
10-JUN-2019,65.0
07-JUN-2019,65.45
06-JUN-2019,65.05
04-JUN-2019,64.95
03-JUN-2019,64.9
31-MAY-2019,63.05
30-MAY-2019,62.05
29-MAY-2019,60.55
28-MAY-2019,59.35
27-MAY-2019,55.75
24-MAY-2019,54.85
23-MAY-2019,51.7
22-MAY-2019,51.45
21-MAY-2019,51.8
20-MAY-2019,51.9
17-MAY-2019,51.8
16-MAY-2019,51.5
15-MAY-2019,51.85
14-MAY-2019,48.95
13-MAY-2019,48.5
10-MAY-2019,48.1
09-MAY-2019,48.65
08-MAY-2019,48.0
07-MAY-2019,48.55
06-MAY-2019,50.1
03-MAY-2019,52.4
02-MAY-2019,51.05
30-APR-2019,51.8
26-APR-2019,52.75
25-APR-2019,53.9
24-APR-2019,54.15
23-APR-2019,54.4
22-APR-2019,55.5
18-APR-2019,55.95
16-APR-2019,56.65
15-APR-2019,57.25
12-APR-2019,57.2
11-APR-2019,57.85
10-APR-2019,59.05
09-APR-2019,59.3
08-APR-2019,58.35
05-APR-2019,60.2
04-APR-2019,59.8
03-APR-2019,58.65
02-APR-2019,61.15
01-APR-2019,60.2
29-MAR-2019,59.05
28-MAR-2019,58.65
27-MAR-2019,58.8
26-MAR-2019,60.0
25-MAR-2019,59.75
22-MAR-2019,60.2
20-MAR-2019,58.35
19-MAR-2019,58.45
18-MAR-2019,57.95
15-MAR-2019,58.95
14-MAR-2019,59.1
13-MAR-2019,59.7
12-MAR-2019,59.6
11-MAR-2019,58.25
08-MAR-2019,57.75
07-MAR-2019,60.1
06-MAR-2019,58.8
05-MAR-2019,58.7
01-MAR-2019,55.05
28-FEB-2019,51.5
27-FEB-2019,50.65
26-FEB-2019,50.95
25-FEB-2019,50.45
22-FEB-2019,50.75
21-FEB-2019,49.95
20-FEB-2019,49.7
19-FEB-2019,50.25
18-FEB-2019,50.0
15-FEB-2019,49.85
14-FEB-2019,51.0
13-FEB-2019,51.9
12-FEB-2019,52.5
11-FEB-2019,54.0
08-FEB-2019,56.9
07-FEB-2019,55.85
06-FEB-2019,55.3
05-FEB-2019,56.75
04-FEB-2019,54.55
01-FEB-2019,57.2
31-JAN-2019,57.5
30-JAN-2019,57.75
29-JAN-2019,59.0
28-JAN-2019,59.55
25-JAN-2019,62.1
24-JAN-2019,62.75
23-JAN-2019,62.95
22-JAN-2019,63.2
21-JAN-2019,65.95
18-JAN-2019,66.9
17-JAN-2019,67.25
16-JAN-2019,68.55
15-JAN-2019,68.75
14-JAN-2019,69.0
11-JAN-2019,67.1
10-JAN-2019,67.2
09-JAN-2019,66.6
08-JAN-2019,67.1
07-JAN-2019,67.0
04-JAN-2019,69.65
03-JAN-2019,66.95
02-JAN-2019,63.9
01-JAN-2019,64.7
31-DEC-2018,64.55
28-DEC-2018,64.35
27-DEC-2018,65.1
26-DEC-2018,64.15
24-DEC-2018,64.85
21-DEC-2018,64.5
20-DEC-2018,65.0
19-DEC-2018,65.2
18-DEC-2018,64.05
17-DEC-2018,68.15
14-DEC-2018,66.4
13-DEC-2018,64.1
12-DEC-2018,63.95
11-DEC-2018,63.4
10-DEC-2018,62.2
07-DEC-2018,62.85
06-DEC-2018,62.35
05-DEC-2018,62.55
04-DEC-2018,64.15
03-DEC-2018,63.2
30-NOV-2018,63.0
29-NOV-2018,61.7
28-NOV-2018,61.3
27-NOV-2018,61.6
26-NOV-2018,61.8
22-NOV-2018,60.9
21-NOV-2018,60.95
20-NOV-2018,60.55
19-NOV-2018,61.0
16-NOV-2018,61.35
15-NOV-2018,62.25
14-NOV-2018,63.6
13-NOV-2018,64.2
12-NOV-2018,62.85
09-NOV-2018,62.85
07-NOV-2018,62.35
06-NOV-2018,61.45
05-NOV-2018,62.65
02-NOV-2018,63.15
01-NOV-2018,61.6
31-OCT-2018,61.9
30-OCT-2018,63.35
29-OCT-2018,61.15
26-OCT-2018,60.6
25-OCT-2018,58.65
24-OCT-2018,59.65
23-OCT-2018,60.05
