DATE,CLOSE
21-JAN-2020,42.0
20-JAN-2020,42.15
17-JAN-2020,43.95
16-JAN-2020,41.4
15-JAN-2020,41.6
14-JAN-2020,42.3
13-JAN-2020,43.25
10-JAN-2020,41.45
09-JAN-2020,43.05
08-JAN-2020,42.4
07-JAN-2020,38.25
06-JAN-2020,39.05
03-JAN-2020,40.65
02-JAN-2020,40.7
01-JAN-2020,40.7
31-DEC-2019,40.55
30-DEC-2019,40.35
27-DEC-2019,40.75
26-DEC-2019,42.1
24-DEC-2019,39.35
23-DEC-2019,40.25
20-DEC-2019,41.35
19-DEC-2019,40.8
18-DEC-2019,41.2
17-DEC-2019,41.5
16-DEC-2019,42.25
13-DEC-2019,43.0
12-DEC-2019,42.5
11-DEC-2019,43.25
10-DEC-2019,43.9
09-DEC-2019,44.6
06-DEC-2019,45.3
05-DEC-2019,46.1
04-DEC-2019,46.75
03-DEC-2019,47.1
02-DEC-2019,47.75
29-NOV-2019,47.1
28-NOV-2019,46.95
27-NOV-2019,45.25
26-NOV-2019,43.0
25-NOV-2019,43.65
22-NOV-2019,45.55
21-NOV-2019,45.75
20-NOV-2019,46.1
19-NOV-2019,46.25
18-NOV-2019,44.65
15-NOV-2019,46.35
14-NOV-2019,47.75
13-NOV-2019,46.55
11-NOV-2019,47.75
08-NOV-2019,48.65
07-NOV-2019,47.3
06-NOV-2019,47.45
05-NOV-2019,49.75
04-NOV-2019,50.45
01-NOV-2019,48.65
31-OCT-2019,48.05
30-OCT-2019,45.15
29-OCT-2019,44.15
27-OCT-2019,42.45
25-OCT-2019,41.2
24-OCT-2019,41.35
23-OCT-2019,41.15
22-OCT-2019,41.2
18-OCT-2019,45.85
17-OCT-2019,42.65
16-OCT-2019,40.0
15-OCT-2019,40.15
14-OCT-2019,39.05
11-OCT-2019,34.75
10-OCT-2019,31.8
09-OCT-2019,33.65
07-OCT-2019,32.6
04-OCT-2019,33.15
03-OCT-2019,33.9
01-OCT-2019,32.75
30-SEP-2019,35.05
27-SEP-2019,37.8
26-SEP-2019,37.0
25-SEP-2019,36.15
24-SEP-2019,36.65
23-SEP-2019,36.9
20-SEP-2019,36.5
19-SEP-2019,35.65
18-SEP-2019,36.55
17-SEP-2019,36.6
16-SEP-2019,37.05
13-SEP-2019,37.7
12-SEP-2019,37.85
11-SEP-2019,38.65
09-SEP-2019,38.35
06-SEP-2019,35.8
05-SEP-2019,33.65
04-SEP-2019,34.0
03-SEP-2019,34.1
30-AUG-2019,35.5
29-AUG-2019,35.0
28-AUG-2019,36.25
27-AUG-2019,36.3
26-AUG-2019,34.6
23-AUG-2019,34.15
22-AUG-2019,30.95
21-AUG-2019,36.05
20-AUG-2019,36.8
19-AUG-2019,37.0
16-AUG-2019,37.5
14-AUG-2019,37.0
13-AUG-2019,36.7
09-AUG-2019,37.1
08-AUG-2019,37.35
07-AUG-2019,37.7
06-AUG-2019,37.9
05-AUG-2019,36.75
02-AUG-2019,37.35
01-AUG-2019,38.0
31-JUL-2019,37.85
30-JUL-2019,38.05
29-JUL-2019,38.8
26-JUL-2019,39.35
25-JUL-2019,37.75
24-JUL-2019,38.85
23-JUL-2019,39.1
22-JUL-2019,39.8
19-JUL-2019,39.65
18-JUL-2019,40.6
17-JUL-2019,40.4
16-JUL-2019,38.95
15-JUL-2019,39.25
12-JUL-2019,36.6
11-JUL-2019,37.15
10-JUL-2019,38.15
09-JUL-2019,37.0
08-JUL-2019,37.65
05-JUL-2019,36.7
04-JUL-2019,36.8
03-JUL-2019,37.0
02-JUL-2019,36.95
01-JUL-2019,37.15
28-JUN-2019,38.45
27-JUN-2019,37.1
26-JUN-2019,38.0
25-JUN-2019,38.15
24-JUN-2019,38.85
21-JUN-2019,39.3
20-JUN-2019,39.8
19-JUN-2019,38.3
18-JUN-2019,37.6
17-JUN-2019,38.75
14-JUN-2019,35.4
13-JUN-2019,38.55
12-JUN-2019,39.3
11-JUN-2019,40.05
10-JUN-2019,39.85
07-JUN-2019,39.9
06-JUN-2019,40.0
04-JUN-2019,40.4
03-JUN-2019,40.3
31-MAY-2019,40.65
30-MAY-2019,41.35
29-MAY-2019,39.7
28-MAY-2019,41.1
27-MAY-2019,40.0
24-MAY-2019,40.5
23-MAY-2019,39.95
22-MAY-2019,40.25
21-MAY-2019,40.3
20-MAY-2019,39.25
17-MAY-2019,41.35
16-MAY-2019,39.95
15-MAY-2019,38.35
14-MAY-2019,39.85
13-MAY-2019,38.85
10-MAY-2019,40.1
09-MAY-2019,40.9
08-MAY-2019,40.2
07-MAY-2019,41.15
06-MAY-2019,41.35
03-MAY-2019,43.3
02-MAY-2019,41.2
30-APR-2019,40.2
26-APR-2019,40.1
25-APR-2019,38.7
24-APR-2019,40.0
23-APR-2019,40.15
22-APR-2019,39.55
18-APR-2019,41.2
16-APR-2019,40.0
15-APR-2019,39.8
12-APR-2019,40.05
11-APR-2019,40.0
10-APR-2019,40.2
09-APR-2019,39.85
