DATE,CLOSE
21-JAN-2020,2.55
20-JAN-2020,2.45
17-JAN-2020,2.5
16-JAN-2020,2.6
15-JAN-2020,2.5
14-JAN-2020,2.4
13-JAN-2020,2.5
10-JAN-2020,2.6
09-JAN-2020,2.85
08-JAN-2020,3.15
07-JAN-2020,3.5
06-JAN-2020,3.2
03-JAN-2020,2.7
02-JAN-2020,2.25
01-JAN-2020,1.9
31-DEC-2019,1.85
30-DEC-2019,1.9
27-DEC-2019,1.95
26-DEC-2019,2.0
24-DEC-2019,2.0
23-DEC-2019,2.05
20-DEC-2019,2.0
19-DEC-2019,2.0
18-DEC-2019,2.0
17-DEC-2019,2.0
16-DEC-2019,2.0
13-DEC-2019,2.1
12-DEC-2019,2.1
11-DEC-2019,2.1
10-DEC-2019,2.15
09-DEC-2019,2.2
06-DEC-2019,2.2
05-DEC-2019,2.25
04-DEC-2019,2.25
03-DEC-2019,2.3
02-DEC-2019,2.35
29-NOV-2019,2.3
28-NOV-2019,2.3
27-NOV-2019,2.25
26-NOV-2019,2.3
25-NOV-2019,2.4
22-NOV-2019,2.35
21-NOV-2019,2.4
20-NOV-2019,2.4
19-NOV-2019,2.4
18-NOV-2019,2.45
15-NOV-2019,2.45
14-NOV-2019,2.55
13-NOV-2019,2.7
11-NOV-2019,2.85
08-NOV-2019,2.95
07-NOV-2019,3.0
06-NOV-2019,2.85
05-NOV-2019,2.85
04-NOV-2019,2.9
01-NOV-2019,2.7
31-OCT-2019,2.65
30-OCT-2019,2.65
29-OCT-2019,2.65
27-OCT-2019,2.6
25-OCT-2019,2.55
24-OCT-2019,2.6
23-OCT-2019,2.7
22-OCT-2019,2.65
18-OCT-2019,2.55
17-OCT-2019,2.5
16-OCT-2019,2.45
15-OCT-2019,2.6
14-OCT-2019,2.7
11-OCT-2019,2.65
10-OCT-2019,2.35
09-OCT-2019,2.4
07-OCT-2019,2.45
04-OCT-2019,2.45
03-OCT-2019,2.3
01-OCT-2019,2.2
30-SEP-2019,2.25
27-SEP-2019,2.5
26-SEP-2019,2.8
25-SEP-2019,2.95
24-SEP-2019,3.0
23-SEP-2019,3.1
20-SEP-2019,3.05
19-SEP-2019,2.95
18-SEP-2019,3.05
17-SEP-2019,3.05
16-SEP-2019,3.1
13-SEP-2019,3.15
12-SEP-2019,3.15
11-SEP-2019,3.0
09-SEP-2019,2.8
06-SEP-2019,3.2
05-SEP-2019,3.55
04-SEP-2019,3.5
03-SEP-2019,3.6
30-AUG-2019,3.7
29-AUG-2019,3.65
28-AUG-2019,4.15
27-AUG-2019,4.2
26-AUG-2019,4.2
23-AUG-2019,4.15
22-AUG-2019,4.15
21-AUG-2019,4.3
20-AUG-2019,4.45
19-AUG-2019,4.35
16-AUG-2019,4.4
14-AUG-2019,4.15
13-AUG-2019,4.25
09-AUG-2019,4.4
08-AUG-2019,4.0
07-AUG-2019,3.95
06-AUG-2019,4.25
05-AUG-2019,4.2
02-AUG-2019,4.25
01-AUG-2019,4.2
31-JUL-2019,4.2
30-JUL-2019,4.45
29-JUL-2019,4.85
26-JUL-2019,4.6
25-JUL-2019,4.0
24-JUL-2019,3.95
23-JUL-2019,4.15
22-JUL-2019,4.2
19-JUL-2019,4.4
18-JUL-2019,4.3
17-JUL-2019,4.45
16-JUL-2019,4.65
15-JUL-2019,4.8
12-JUL-2019,4.95
11-JUL-2019,5.0
10-JUL-2019,4.85
09-JUL-2019,4.75
08-JUL-2019,4.55
05-JUL-2019,4.85
04-JUL-2019,5.05
03-JUL-2019,4.9
02-JUL-2019,4.95
01-JUL-2019,5.1
28-JUN-2019,5.25
27-JUN-2019,5.7
26-JUN-2019,5.9
25-JUN-2019,5.2
24-JUN-2019,4.95
21-JUN-2019,4.55
20-JUN-2019,4.1
19-JUN-2019,3.35
18-JUN-2019,3.65
17-JUN-2019,4.05
14-JUN-2019,4.1
13-JUN-2019,4.35
12-JUN-2019,4.45
11-JUN-2019,4.8
10-JUN-2019,4.65
07-JUN-2019,5.2
06-JUN-2019,5.35
04-JUN-2019,5.45
03-JUN-2019,5.5
31-MAY-2019,5.45
30-MAY-2019,5.75
29-MAY-2019,5.4
28-MAY-2019,5.55
27-MAY-2019,5.75
24-MAY-2019,5.7
23-MAY-2019,5.4
22-MAY-2019,5.6
21-MAY-2019,5.55
20-MAY-2019,5.85
17-MAY-2019,5.25
16-MAY-2019,5.25
15-MAY-2019,5.25
14-MAY-2019,5.7
13-MAY-2019,5.6
10-MAY-2019,6.4
09-MAY-2019,5.65
08-MAY-2019,5.95
07-MAY-2019,6.35
06-MAY-2019,6.6
03-MAY-2019,6.75
02-MAY-2019,6.75
30-APR-2019,6.85
26-APR-2019,7.2
25-APR-2019,7.15
24-APR-2019,7.25
23-APR-2019,7.2
22-APR-2019,6.8
18-APR-2019,7.1
16-APR-2019,7.35
15-APR-2019,7.35
12-APR-2019,7.2
11-APR-2019,6.7
10-APR-2019,6.7
09-APR-2019,6.7
08-APR-2019,6.65
05-APR-2019,6.7
04-APR-2019,6.7
03-APR-2019,6.5
02-APR-2019,6.8
01-APR-2019,6.2
29-MAR-2019,6.15
28-MAR-2019,6.5
27-MAR-2019,6.65
26-MAR-2019,6.65
25-MAR-2019,6.45
22-MAR-2019,6.7
20-MAR-2019,6.9
19-MAR-2019,7.0
18-MAR-2019,7.1
15-MAR-2019,6.8
14-MAR-2019,7.05
13-MAR-2019,6.8
12-MAR-2019,7.2
11-MAR-2019,7.4
08-MAR-2019,7.3
07-MAR-2019,6.9
06-MAR-2019,7.9
05-MAR-2019,7.45
01-MAR-2019,5.95
28-FEB-2019,5.75
27-FEB-2019,5.5
26-FEB-2019,5.35
25-FEB-2019,5.65
22-FEB-2019,5.75
21-FEB-2019,4.45
20-FEB-2019,3.7
19-FEB-2019,3.55
18-FEB-2019,3.45
15-FEB-2019,3.45
14-FEB-2019,3.5
13-FEB-2019,3.35
12-FEB-2019,3.45
11-FEB-2019,3.45
08-FEB-2019,3.7
07-FEB-2019,3.95
06-FEB-2019,3.85
05-FEB-2019,3.6
04-FEB-2019,4.75
01-FEB-2019,4.9
