DATE,CLOSE
21-JAN-2020,59.55
20-JAN-2020,60.25
17-JAN-2020,61.55
16-JAN-2020,61.0
15-JAN-2020,60.9
14-JAN-2020,60.2
13-JAN-2020,59.4
10-JAN-2020,58.95
09-JAN-2020,57.8
08-JAN-2020,56.25
07-JAN-2020,56.6
06-JAN-2020,56.75
03-JAN-2020,57.75
02-JAN-2020,58.0
01-JAN-2020,57.6
31-DEC-2019,56.5
30-DEC-2019,56.45
27-DEC-2019,56.1
26-DEC-2019,55.15
24-DEC-2019,56.1
23-DEC-2019,55.75
20-DEC-2019,55.45
19-DEC-2019,55.7
18-DEC-2019,55.5
17-DEC-2019,56.05
16-DEC-2019,55.0
13-DEC-2019,54.0
12-DEC-2019,53.35
11-DEC-2019,52.8
10-DEC-2019,51.4
09-DEC-2019,52.45
06-DEC-2019,53.5
05-DEC-2019,55.8
04-DEC-2019,55.85
03-DEC-2019,55.45
02-DEC-2019,56.35
29-NOV-2019,57.35
28-NOV-2019,56.45
27-NOV-2019,56.8
26-NOV-2019,56.65
25-NOV-2019,55.95
22-NOV-2019,55.15
21-NOV-2019,54.85
20-NOV-2019,55.4
19-NOV-2019,55.75
18-NOV-2019,55.95
15-NOV-2019,54.5
14-NOV-2019,54.65
13-NOV-2019,55.4
11-NOV-2019,57.5
08-NOV-2019,59.55
07-NOV-2019,58.75
06-NOV-2019,58.9
05-NOV-2019,58.7
04-NOV-2019,59.7
01-NOV-2019,59.5
31-OCT-2019,59.3
30-OCT-2019,58.6
29-OCT-2019,58.45
27-OCT-2019,58.15
25-OCT-2019,57.6
24-OCT-2019,59.15
23-OCT-2019,61.1
22-OCT-2019,59.2
18-OCT-2019,59.95
17-OCT-2019,59.85
16-OCT-2019,58.1
15-OCT-2019,59.75
14-OCT-2019,59.8
11-OCT-2019,61.1
10-OCT-2019,61.6
09-OCT-2019,61.45
07-OCT-2019,58.2
04-OCT-2019,58.0
03-OCT-2019,59.35
01-OCT-2019,59.35
30-SEP-2019,62.5
27-SEP-2019,62.1
26-SEP-2019,63.65
25-SEP-2019,63.8
24-SEP-2019,66.4
23-SEP-2019,67.2
20-SEP-2019,67.05
19-SEP-2019,64.75
18-SEP-2019,64.05
17-SEP-2019,63.95
16-SEP-2019,64.4
13-SEP-2019,64.3
12-SEP-2019,63.9
11-SEP-2019,61.2
09-SEP-2019,60.4
06-SEP-2019,58.2
05-SEP-2019,55.3
04-SEP-2019,54.1
03-SEP-2019,53.85
30-AUG-2019,56.75
29-AUG-2019,55.5
28-AUG-2019,55.45
27-AUG-2019,55.35
26-AUG-2019,55.95
23-AUG-2019,54.5
22-AUG-2019,53.4
21-AUG-2019,51.1
20-AUG-2019,56.0
19-AUG-2019,57.25
16-AUG-2019,56.1
14-AUG-2019,55.5
13-AUG-2019,55.75
09-AUG-2019,57.5
08-AUG-2019,57.75
07-AUG-2019,59.05
06-AUG-2019,59.3
05-AUG-2019,57.9
02-AUG-2019,59.15
01-AUG-2019,59.75
31-JUL-2019,60.55
30-JUL-2019,58.9
29-JUL-2019,61.4
26-JUL-2019,62.3
25-JUL-2019,61.55
24-JUL-2019,63.85
23-JUL-2019,66.25
22-JUL-2019,67.1
19-JUL-2019,66.55
18-JUL-2019,66.35
17-JUL-2019,69.05
16-JUL-2019,67.95
15-JUL-2019,68.55
12-JUL-2019,68.15
11-JUL-2019,67.4
10-JUL-2019,66.35
09-JUL-2019,68.5
08-JUL-2019,68.6
05-JUL-2019,70.6
04-JUL-2019,72.15
03-JUL-2019,73.85
02-JUL-2019,73.1
01-JUL-2019,70.7
28-JUN-2019,69.0
27-JUN-2019,68.65
26-JUN-2019,68.55
25-JUN-2019,66.3
24-JUN-2019,65.05
21-JUN-2019,65.25
20-JUN-2019,64.6
19-JUN-2019,63.5
18-JUN-2019,64.3
17-JUN-2019,64.5
14-JUN-2019,65.15
13-JUN-2019,65.85
12-JUN-2019,66.25
11-JUN-2019,66.35
10-JUN-2019,66.55
07-JUN-2019,66.3
06-JUN-2019,65.1
04-JUN-2019,66.7
03-JUN-2019,68.35
31-MAY-2019,68.8
30-MAY-2019,70.5
29-MAY-2019,68.65
28-MAY-2019,70.55
27-MAY-2019,70.8
24-MAY-2019,67.7
23-MAY-2019,64.6
22-MAY-2019,64.8
21-MAY-2019,64.4
20-MAY-2019,65.75
17-MAY-2019,61.4
16-MAY-2019,61.35
15-MAY-2019,61.35
14-MAY-2019,63.2
13-MAY-2019,62.6
10-MAY-2019,63.8
09-MAY-2019,64.4
08-MAY-2019,64.5
07-MAY-2019,64.35
06-MAY-2019,65.85
03-MAY-2019,66.95
02-MAY-2019,66.6
30-APR-2019,67.8
26-APR-2019,67.9
25-APR-2019,67.7
24-APR-2019,67.8
23-APR-2019,68.25
22-APR-2019,69.2
18-APR-2019,70.55
16-APR-2019,71.45
15-APR-2019,71.35
12-APR-2019,73.25
11-APR-2019,72.7
10-APR-2019,70.9
09-APR-2019,72.6
08-APR-2019,71.9
05-APR-2019,71.95
04-APR-2019,70.75
03-APR-2019,71.45
02-APR-2019,74.05
01-APR-2019,74.4
29-MAR-2019,73.8
28-MAR-2019,71.55
27-MAR-2019,71.4
26-MAR-2019,71.3
25-MAR-2019,71.9
22-MAR-2019,72.55
20-MAR-2019,72.05
19-MAR-2019,73.0
18-MAR-2019,73.05
15-MAR-2019,73.8
14-MAR-2019,73.05
13-MAR-2019,73.8
12-MAR-2019,73.35
11-MAR-2019,71.7
08-MAR-2019,70.0
07-MAR-2019,70.55
06-MAR-2019,71.3
05-MAR-2019,69.15
01-MAR-2019,67.05
28-FEB-2019,65.45
27-FEB-2019,65.5
26-FEB-2019,66.15
25-FEB-2019,66.55
22-FEB-2019,67.1
21-FEB-2019,67.45
20-FEB-2019,66.9
19-FEB-2019,65.9
18-FEB-2019,65.35
15-FEB-2019,69.2
14-FEB-2019,67.55
13-FEB-2019,65.25
12-FEB-2019,66.3
11-FEB-2019,65.55
08-FEB-2019,68.75
07-FEB-2019,69.6
06-FEB-2019,70.4
05-FEB-2019,69.9
04-FEB-2019,70.55
01-FEB-2019,71.5
31-JAN-2019,71.3
30-JAN-2019,68.15
29-JAN-2019,71.05
28-JAN-2019,70.95
25-JAN-2019,73.95
24-JAN-2019,74.55
23-JAN-2019,75.2
22-JAN-2019,76.35
21-JAN-2019,75.95
18-JAN-2019,76.0
17-JAN-2019,76.0
16-JAN-2019,76.5
15-JAN-2019,75.05
14-JAN-2019,74.3
11-JAN-2019,75.0
10-JAN-2019,74.9
09-JAN-2019,74.35
08-JAN-2019,74.95
07-JAN-2019,74.7
04-JAN-2019,75.05
03-JAN-2019,74.2
02-JAN-2019,74.85
01-JAN-2019,76.7
31-DEC-2018,76.8
28-DEC-2018,77.1
27-DEC-2018,77.0
26-DEC-2018,75.95
24-DEC-2018,76.8
21-DEC-2018,76.45
20-DEC-2018,80.25
19-DEC-2018,79.5
18-DEC-2018,78.65
17-DEC-2018,77.9
14-DEC-2018,79.3
13-DEC-2018,78.7
12-DEC-2018,79.1
11-DEC-2018,79.15
10-DEC-2018,77.65
07-DEC-2018,79.45
06-DEC-2018,79.4
05-DEC-2018,80.45
04-DEC-2018,81.5
03-DEC-2018,82.55
30-NOV-2018,76.1
29-NOV-2018,75.2
28-NOV-2018,74.4
27-NOV-2018,75.65
26-NOV-2018,75.55
22-NOV-2018,74.9
21-NOV-2018,78.15
20-NOV-2018,78.3
19-NOV-2018,77.35
16-NOV-2018,76.8
15-NOV-2018,76.7
14-NOV-2018,77.95
13-NOV-2018,76.05
12-NOV-2018,74.55
09-NOV-2018,75.9
07-NOV-2018,75.95
06-NOV-2018,75.65
05-NOV-2018,75.3
02-NOV-2018,76.0
01-NOV-2018,76.35
31-OCT-2018,76.55
30-OCT-2018,77.75
29-OCT-2018,77.6
26-OCT-2018,68.9
25-OCT-2018,69.0
24-OCT-2018,69.25
23-OCT-2018,69.45
22-OCT-2018,69.6
19-OCT-2018,70.15
17-OCT-2018,72.55
16-OCT-2018,73.8
15-OCT-2018,71.25
12-OCT-2018,68.85
11-OCT-2018,62.25
10-OCT-2018,65.0
09-OCT-2018,60.95
08-OCT-2018,61.5
05-OCT-2018,62.85
04-OCT-2018,66.85
03-OCT-2018,67.5
01-OCT-2018,67.95
28-SEP-2018,65.85
27-SEP-2018,68.6
26-SEP-2018,70.25
25-SEP-2018,70.3
24-SEP-2018,69.1
21-SEP-2018,72.9
19-SEP-2018,75.55
18-SEP-2018,74.6
17-SEP-2018,77.9
14-SEP-2018,76.2
12-SEP-2018,74.0
11-SEP-2018,74.45
10-SEP-2018,73.8
07-SEP-2018,75.2
06-SEP-2018,75.05
05-SEP-2018,74.9
04-SEP-2018,73.35
03-SEP-2018,78.2
31-AUG-2018,76.7
30-AUG-2018,76.1
29-AUG-2018,76.9
28-AUG-2018,74.85
27-AUG-2018,75.6
24-AUG-2018,71.75
23-AUG-2018,72.05
21-AUG-2018,72.25
20-AUG-2018,70.05
17-AUG-2018,68.65
16-AUG-2018,67.15
14-AUG-2018,68.75
13-AUG-2018,68.75
10-AUG-2018,69.35
09-AUG-2018,69.9
08-AUG-2018,69.45
07-AUG-2018,70.3
06-AUG-2018,71.85
03-AUG-2018,72.35
02-AUG-2018,71.95
01-AUG-2018,73.05
31-JUL-2018,74.55
30-JUL-2018,73.85
27-JUL-2018,71.85
26-JUL-2018,70.85
25-JUL-2018,67.8
