DATE,CLOSE
21-JAN-2020,16.15
20-JAN-2020,16.25
17-JAN-2020,16.2
16-JAN-2020,16.2
15-JAN-2020,16.2
14-JAN-2020,16.15
13-JAN-2020,16.2
10-JAN-2020,16.35
09-JAN-2020,16.5
08-JAN-2020,16.35
07-JAN-2020,16.75
06-JAN-2020,16.5
03-JAN-2020,16.6
02-JAN-2020,16.8
01-JAN-2020,16.65
31-DEC-2019,16.7
30-DEC-2019,17.0
27-DEC-2019,17.25
26-DEC-2019,16.7
24-DEC-2019,16.05
23-DEC-2019,16.1
20-DEC-2019,16.45
19-DEC-2019,16.2
18-DEC-2019,16.35
17-DEC-2019,16.65
16-DEC-2019,16.8
13-DEC-2019,17.0
12-DEC-2019,15.15
11-DEC-2019,15.0
10-DEC-2019,15.6
09-DEC-2019,16.2
06-DEC-2019,16.3
05-DEC-2019,17.05
04-DEC-2019,17.4
03-DEC-2019,17.05
02-DEC-2019,17.25
29-NOV-2019,17.75
28-NOV-2019,17.95
27-NOV-2019,17.25
26-NOV-2019,17.6
25-NOV-2019,18.1
22-NOV-2019,19.05
21-NOV-2019,21.15
20-NOV-2019,18.7
19-NOV-2019,15.6
18-NOV-2019,13.0
15-NOV-2019,13.3
14-NOV-2019,13.2
13-NOV-2019,13.5
11-NOV-2019,13.6
08-NOV-2019,13.65
07-NOV-2019,14.25
06-NOV-2019,13.75
05-NOV-2019,14.0
04-NOV-2019,14.45
01-NOV-2019,13.95
31-OCT-2019,13.6
30-OCT-2019,12.9
29-OCT-2019,11.95
27-OCT-2019,11.8
25-OCT-2019,11.65
24-OCT-2019,11.7
23-OCT-2019,11.85
22-OCT-2019,11.85
18-OCT-2019,11.8
17-OCT-2019,11.75
16-OCT-2019,11.6
15-OCT-2019,11.75
14-OCT-2019,11.8
11-OCT-2019,12.05
10-OCT-2019,12.2
09-OCT-2019,12.45
07-OCT-2019,12.15
04-OCT-2019,12.4
03-OCT-2019,11.5
01-OCT-2019,11.95
30-SEP-2019,13.0
27-SEP-2019,13.65
26-SEP-2019,13.9
25-SEP-2019,14.3
24-SEP-2019,14.85
23-SEP-2019,14.9
20-SEP-2019,14.55
19-SEP-2019,14.6
18-SEP-2019,14.8
17-SEP-2019,14.7
16-SEP-2019,14.8
13-SEP-2019,14.95
12-SEP-2019,15.05
11-SEP-2019,14.85
09-SEP-2019,14.8
06-SEP-2019,15.05
05-SEP-2019,14.85
04-SEP-2019,14.95
03-SEP-2019,15.15
30-AUG-2019,15.85
29-AUG-2019,14.8
28-AUG-2019,15.3
27-AUG-2019,15.7
26-AUG-2019,15.35
23-AUG-2019,14.25
22-AUG-2019,14.55
21-AUG-2019,15.05
20-AUG-2019,15.4
19-AUG-2019,15.55
16-AUG-2019,15.85
14-AUG-2019,15.4
13-AUG-2019,15.55
09-AUG-2019,15.95
08-AUG-2019,16.2
07-AUG-2019,16.15
06-AUG-2019,16.3
05-AUG-2019,16.05
02-AUG-2019,16.25
01-AUG-2019,16.45
31-JUL-2019,16.55
30-JUL-2019,16.7
29-JUL-2019,17.05
26-JUL-2019,17.2
25-JUL-2019,17.15
