DATE,CLOSE
21-JAN-2020,35.15
20-JAN-2020,35.1
17-JAN-2020,36.3
16-JAN-2020,36.2
15-JAN-2020,36.0
14-JAN-2020,35.1
13-JAN-2020,35.15
10-JAN-2020,35.2
09-JAN-2020,34.9
08-JAN-2020,34.45
07-JAN-2020,34.7
06-JAN-2020,34.7
03-JAN-2020,34.9
02-JAN-2020,34.95
01-JAN-2020,34.7
31-DEC-2019,34.6
30-DEC-2019,35.0
27-DEC-2019,34.65
26-DEC-2019,33.85
24-DEC-2019,34.3
23-DEC-2019,34.8
20-DEC-2019,34.45
19-DEC-2019,35.1
18-DEC-2019,34.85
17-DEC-2019,35.15
16-DEC-2019,34.95
13-DEC-2019,35.65
12-DEC-2019,35.3
11-DEC-2019,34.85
10-DEC-2019,33.9
09-DEC-2019,34.9
06-DEC-2019,34.6
05-DEC-2019,34.3
04-DEC-2019,33.65
03-DEC-2019,33.15
02-DEC-2019,33.65
29-NOV-2019,33.7
28-NOV-2019,32.95
27-NOV-2019,33.3
26-NOV-2019,32.85
25-NOV-2019,33.1
22-NOV-2019,33.55
21-NOV-2019,33.7
20-NOV-2019,33.6
19-NOV-2019,33.75
18-NOV-2019,33.75
15-NOV-2019,33.6
14-NOV-2019,34.05
13-NOV-2019,34.35
11-NOV-2019,34.5
08-NOV-2019,35.0
07-NOV-2019,35.45
06-NOV-2019,35.7
05-NOV-2019,36.2
04-NOV-2019,36.05
01-NOV-2019,35.85
31-OCT-2019,36.05
30-OCT-2019,36.65
29-OCT-2019,35.85
27-OCT-2019,35.55
25-OCT-2019,35.25
24-OCT-2019,35.8
23-OCT-2019,36.65
22-OCT-2019,36.5
18-OCT-2019,36.45
17-OCT-2019,35.9
16-OCT-2019,36.0
15-OCT-2019,35.75
14-OCT-2019,36.0
11-OCT-2019,36.5
10-OCT-2019,36.55
09-OCT-2019,36.05
07-OCT-2019,35.15
04-OCT-2019,35.4
03-OCT-2019,35.45
01-OCT-2019,34.95
30-SEP-2019,35.1
27-SEP-2019,35.2
26-SEP-2019,35.3
25-SEP-2019,36.25
24-SEP-2019,36.1
23-SEP-2019,37.45
20-SEP-2019,36.2
19-SEP-2019,36.55
18-SEP-2019,37.25
17-SEP-2019,39.15
16-SEP-2019,39.6
13-SEP-2019,39.85
12-SEP-2019,39.7
11-SEP-2019,39.85
09-SEP-2019,39.0
06-SEP-2019,37.55
05-SEP-2019,37.85
04-SEP-2019,37.35
03-SEP-2019,37.2
30-AUG-2019,37.05
29-AUG-2019,37.45
28-AUG-2019,37.5
27-AUG-2019,37.45
26-AUG-2019,36.75
23-AUG-2019,36.3
22-AUG-2019,36.3
21-AUG-2019,36.5
20-AUG-2019,36.65
19-AUG-2019,38.0
16-AUG-2019,37.6
14-AUG-2019,37.75
13-AUG-2019,36.95
09-AUG-2019,38.55
08-AUG-2019,37.5
07-AUG-2019,36.25
06-AUG-2019,36.75
05-AUG-2019,37.7
02-AUG-2019,36.75
01-AUG-2019,37.05
31-JUL-2019,37.85
30-JUL-2019,37.95
29-JUL-2019,38.6
26-JUL-2019,39.5
25-JUL-2019,39.55
24-JUL-2019,39.8
23-JUL-2019,39.85
22-JUL-2019,38.5
19-JUL-2019,39.6
18-JUL-2019,39.75
17-JUL-2019,40.35
16-JUL-2019,40.4
15-JUL-2019,40.9
12-JUL-2019,41.6
11-JUL-2019,40.75
10-JUL-2019,41.15
09-JUL-2019,40.3
08-JUL-2019,41.05
05-JUL-2019,42.1
04-JUL-2019,41.5
03-JUL-2019,42.1
02-JUL-2019,41.05
01-JUL-2019,41.3
28-JUN-2019,41.35
27-JUN-2019,42.1
26-JUN-2019,41.65
25-JUN-2019,42.25
24-JUN-2019,41.0
21-JUN-2019,41.0
20-JUN-2019,40.7
19-JUN-2019,41.4
18-JUN-2019,41.45
17-JUN-2019,41.2
14-JUN-2019,41.15
13-JUN-2019,41.2
12-JUN-2019,41.25
11-JUN-2019,41.95
10-JUN-2019,42.6
07-JUN-2019,43.0
06-JUN-2019,42.9
04-JUN-2019,43.55
03-JUN-2019,44.95
31-MAY-2019,43.9
30-MAY-2019,44.75
29-MAY-2019,46.1
28-MAY-2019,45.9
27-MAY-2019,45.7
24-MAY-2019,44.4
23-MAY-2019,41.9
22-MAY-2019,42.9
21-MAY-2019,42.95
20-MAY-2019,43.15
17-MAY-2019,43.65
16-MAY-2019,44.35
15-MAY-2019,43.05
14-MAY-2019,42.75
13-MAY-2019,42.25
10-MAY-2019,43.55
09-MAY-2019,42.8
08-MAY-2019,42.4
07-MAY-2019,42.55
06-MAY-2019,45.45
03-MAY-2019,42.8
02-MAY-2019,42.9
30-APR-2019,41.5
26-APR-2019,41.8
25-APR-2019,42.0
24-APR-2019,41.4
23-APR-2019,42.3
22-APR-2019,41.0
18-APR-2019,41.05
16-APR-2019,41.7
15-APR-2019,42.1
12-APR-2019,42.4
11-APR-2019,42.7
10-APR-2019,42.65
09-APR-2019,40.95
08-APR-2019,41.65
05-APR-2019,41.9
04-APR-2019,40.25
03-APR-2019,40.7
02-APR-2019,41.25
01-APR-2019,41.05
29-MAR-2019,39.8
28-MAR-2019,40.0
27-MAR-2019,40.0
26-MAR-2019,40.05
25-MAR-2019,40.45
22-MAR-2019,40.15
20-MAR-2019,41.2
19-MAR-2019,42.0
18-MAR-2019,41.6
15-MAR-2019,42.0
14-MAR-2019,42.0
13-MAR-2019,44.9
12-MAR-2019,41.15
11-MAR-2019,40.8
08-MAR-2019,40.5
07-MAR-2019,40.7
06-MAR-2019,39.55
05-MAR-2019,41.35
01-MAR-2019,40.1
28-FEB-2019,39.55
27-FEB-2019,39.9
26-FEB-2019,39.0
25-FEB-2019,39.05
22-FEB-2019,39.65
21-FEB-2019,37.8
20-FEB-2019,38.0
19-FEB-2019,37.25
18-FEB-2019,36.1
15-FEB-2019,36.75
14-FEB-2019,37.2
13-FEB-2019,37.9
12-FEB-2019,37.7
11-FEB-2019,37.75
08-FEB-2019,38.7
07-FEB-2019,38.65
06-FEB-2019,38.6
05-FEB-2019,37.75
04-FEB-2019,39.15
01-FEB-2019,42.05
31-JAN-2019,42.45
30-JAN-2019,42.3
29-JAN-2019,42.55
28-JAN-2019,43.0
25-JAN-2019,44.95
24-JAN-2019,45.6
23-JAN-2019,45.4
22-JAN-2019,45.2
21-JAN-2019,45.55
18-JAN-2019,45.1
17-JAN-2019,44.95
16-JAN-2019,44.75
15-JAN-2019,45.55
14-JAN-2019,45.05
11-JAN-2019,45.0
10-JAN-2019,45.55
09-JAN-2019,45.45
08-JAN-2019,45.35
07-JAN-2019,45.3
04-JAN-2019,45.5
03-JAN-2019,45.25
02-JAN-2019,45.5
01-JAN-2019,45.2
31-DEC-2018,44.65
28-DEC-2018,43.4
27-DEC-2018,43.45
26-DEC-2018,43.2
24-DEC-2018,43.25
21-DEC-2018,43.1
20-DEC-2018,43.2
19-DEC-2018,41.35
18-DEC-2018,41.5
17-DEC-2018,41.95
14-DEC-2018,41.4
13-DEC-2018,41.65
12-DEC-2018,40.4
11-DEC-2018,40.5
10-DEC-2018,39.3
07-DEC-2018,38.8
06-DEC-2018,40.85
05-DEC-2018,41.1
04-DEC-2018,41.0
03-DEC-2018,41.1
30-NOV-2018,41.5
29-NOV-2018,41.8
28-NOV-2018,41.9
27-NOV-2018,42.0
26-NOV-2018,41.55
22-NOV-2018,41.75
21-NOV-2018,42.75
20-NOV-2018,41.65
19-NOV-2018,41.45
16-NOV-2018,41.85
15-NOV-2018,42.5
14-NOV-2018,42.1
13-NOV-2018,42.45
12-NOV-2018,42.5
09-NOV-2018,42.65
07-NOV-2018,42.0
06-NOV-2018,41.75
05-NOV-2018,41.9
02-NOV-2018,41.4
01-NOV-2018,41.15
31-OCT-2018,41.3
30-OCT-2018,41.45
