DATE,CLOSE
21-JAN-2020,29.8
20-JAN-2020,30.1
17-JAN-2020,29.9
16-JAN-2020,31.4
15-JAN-2020,28.55
14-JAN-2020,26.15
13-JAN-2020,25.75
10-JAN-2020,26.15
09-JAN-2020,25.55
08-JAN-2020,26.7
07-JAN-2020,26.85
06-JAN-2020,24.45
03-JAN-2020,22.45
02-JAN-2020,22.35
01-JAN-2020,22.1
31-DEC-2019,22.4
30-DEC-2019,22.15
27-DEC-2019,22.4
26-DEC-2019,22.1
24-DEC-2019,22.45
23-DEC-2019,22.05
20-DEC-2019,22.45
19-DEC-2019,22.8
18-DEC-2019,22.15
17-DEC-2019,22.2
16-DEC-2019,22.45
13-DEC-2019,22.5
12-DEC-2019,22.65
11-DEC-2019,22.25
10-DEC-2019,23.1
09-DEC-2019,23.4
06-DEC-2019,23.75
05-DEC-2019,23.15
04-DEC-2019,23.05
03-DEC-2019,23.35
02-DEC-2019,24.05
29-NOV-2019,24.3
28-NOV-2019,23.9
27-NOV-2019,22.8
26-NOV-2019,22.9
25-NOV-2019,22.1
22-NOV-2019,22.35
21-NOV-2019,23.35
20-NOV-2019,22.5
19-NOV-2019,21.6
18-NOV-2019,22.5
15-NOV-2019,23.6
14-NOV-2019,23.65
13-NOV-2019,22.55
11-NOV-2019,23.7
08-NOV-2019,24.9
07-NOV-2019,25.65
06-NOV-2019,26.95
05-NOV-2019,25.7
04-NOV-2019,26.85
01-NOV-2019,25.6
31-OCT-2019,23.3
30-OCT-2019,21.2
29-OCT-2019,20.25
27-OCT-2019,20.1
25-OCT-2019,20.3
24-OCT-2019,19.95
23-OCT-2019,20.0
22-OCT-2019,21.0
18-OCT-2019,20.4
17-OCT-2019,19.9
16-OCT-2019,20.25
15-OCT-2019,20.25
14-OCT-2019,20.9
11-OCT-2019,19.95
10-OCT-2019,20.55
09-OCT-2019,20.45
07-OCT-2019,20.3
04-OCT-2019,21.2
03-OCT-2019,20.25
01-OCT-2019,19.7
30-SEP-2019,20.25
27-SEP-2019,20.75
26-SEP-2019,20.6
25-SEP-2019,19.7
24-SEP-2019,20.2
23-SEP-2019,21.2
20-SEP-2019,21.15
19-SEP-2019,20.65
18-SEP-2019,21.15
17-SEP-2019,20.15
16-SEP-2019,20.2
13-SEP-2019,20.15
12-SEP-2019,19.5
11-SEP-2019,18.85
09-SEP-2019,19.25
06-SEP-2019,20.15
05-SEP-2019,20.15
04-SEP-2019,20.3
03-SEP-2019,19.45
30-AUG-2019,19.0
29-AUG-2019,18.45
28-AUG-2019,19.25
27-AUG-2019,18.9
26-AUG-2019,18.0
23-AUG-2019,17.95
22-AUG-2019,17.9
21-AUG-2019,18.8
20-AUG-2019,19.75
19-AUG-2019,20.45
16-AUG-2019,21.35
14-AUG-2019,22.05
13-AUG-2019,21.0
09-AUG-2019,20.0
08-AUG-2019,19.05
07-AUG-2019,18.15
06-AUG-2019,17.3
05-AUG-2019,16.7
02-AUG-2019,17.55
01-AUG-2019,17.9
31-JUL-2019,18.25
30-JUL-2019,19.0
29-JUL-2019,18.8
26-JUL-2019,19.75
25-JUL-2019,20.2
24-JUL-2019,20.3
23-JUL-2019,20.6
22-JUL-2019,21.35
19-JUL-2019,22.45
18-JUL-2019,23.6
17-JUL-2019,24.65
16-JUL-2019,24.8
15-JUL-2019,24.4
12-JUL-2019,24.75
11-JUL-2019,25.15
10-JUL-2019,24.9
09-JUL-2019,25.75
08-JUL-2019,26.5
05-JUL-2019,27.85
04-JUL-2019,28.7
03-JUL-2019,28.7
02-JUL-2019,27.75
01-JUL-2019,26.6
28-JUN-2019,27.0
27-JUN-2019,27.25
26-JUN-2019,27.65
25-JUN-2019,27.85
24-JUN-2019,28.2
21-JUN-2019,28.65
20-JUN-2019,29.15
19-JUN-2019,30.65
18-JUN-2019,29.5
17-JUN-2019,28.1
14-JUN-2019,26.8
13-JUN-2019,27.75
12-JUN-2019,30.55
11-JUN-2019,32.2
10-JUN-2019,35.0
07-JUN-2019,34.35
06-JUN-2019,34.8
04-JUN-2019,33.35
03-JUN-2019,27.9
31-MAY-2019,23.25
30-MAY-2019,19.4
29-MAY-2019,23.65
28-MAY-2019,23.85
27-MAY-2019,23.8
24-MAY-2019,23.95
23-MAY-2019,23.6
22-MAY-2019,24.0
21-MAY-2019,23.95
20-MAY-2019,24.7
17-MAY-2019,22.1
16-MAY-2019,21.15
15-MAY-2019,21.8
14-MAY-2019,22.05
13-MAY-2019,22.15
10-MAY-2019,23.4
09-MAY-2019,23.35
08-MAY-2019,23.55
07-MAY-2019,23.85
06-MAY-2019,24.3
03-MAY-2019,24.8
02-MAY-2019,24.8
30-APR-2019,24.25
26-APR-2019,24.75
25-APR-2019,24.4
24-APR-2019,24.95
23-APR-2019,24.85
22-APR-2019,25.5
18-APR-2019,25.75
16-APR-2019,26.05
15-APR-2019,26.55
12-APR-2019,26.6
11-APR-2019,26.85
10-APR-2019,26.45
09-APR-2019,27.2
08-APR-2019,27.1
05-APR-2019,27.35
04-APR-2019,25.7
03-APR-2019,26.0
02-APR-2019,26.95
01-APR-2019,27.5
29-MAR-2019,25.35
28-MAR-2019,26.2
27-MAR-2019,26.2
26-MAR-2019,28.65
25-MAR-2019,28.2
22-MAR-2019,29.1
20-MAR-2019,30.4
19-MAR-2019,32.15
18-MAR-2019,30.15
15-MAR-2019,31.8
14-MAR-2019,32.8
13-MAR-2019,33.5
12-MAR-2019,33.55
11-MAR-2019,31.85
08-MAR-2019,30.4
07-MAR-2019,30.15
06-MAR-2019,29.35
05-MAR-2019,28.75
01-MAR-2019,27.85
28-FEB-2019,26.35
27-FEB-2019,25.1
26-FEB-2019,25.45
25-FEB-2019,26.05
22-FEB-2019,25.6
21-FEB-2019,26.7
20-FEB-2019,28.8
19-FEB-2019,26.9
18-FEB-2019,26.25
15-FEB-2019,25.35
14-FEB-2019,25.95
13-FEB-2019,25.85
12-FEB-2019,26.15
11-FEB-2019,25.65
08-FEB-2019,24.1
07-FEB-2019,25.15
06-FEB-2019,25.15
05-FEB-2019,24.3
04-FEB-2019,25.2
01-FEB-2019,24.25
31-JAN-2019,23.1
30-JAN-2019,22.25
29-JAN-2019,23.1
28-JAN-2019,22.0
25-JAN-2019,23.0
24-JAN-2019,24.2
23-JAN-2019,23.85
22-JAN-2019,25.1
21-JAN-2019,26.4
18-JAN-2019,27.55
17-JAN-2019,26.25
16-JAN-2019,25.0
15-JAN-2019,25.0
14-JAN-2019,26.3
11-JAN-2019,27.05
10-JAN-2019,27.2
09-JAN-2019,27.55
08-JAN-2019,28.15
07-JAN-2019,28.15
04-JAN-2019,28.0
03-JAN-2019,27.95
02-JAN-2019,28.3
01-JAN-2019,28.6
31-DEC-2018,28.6
28-DEC-2018,28.35
27-DEC-2018,28.55
26-DEC-2018,28.2
24-DEC-2018,28.4
21-DEC-2018,28.4
20-DEC-2018,28.85
19-DEC-2018,27.5
18-DEC-2018,26.85
17-DEC-2018,26.4
14-DEC-2018,26.55
13-DEC-2018,26.9
12-DEC-2018,26.8
11-DEC-2018,25.55
10-DEC-2018,25.35
07-DEC-2018,26.65
06-DEC-2018,27.35
05-DEC-2018,28.55
04-DEC-2018,27.2
03-DEC-2018,25.95
30-NOV-2018,24.75
29-NOV-2018,27.4
28-NOV-2018,27.7
27-NOV-2018,27.95
26-NOV-2018,29.6
22-NOV-2018,30.0
21-NOV-2018,31.3
20-NOV-2018,32.0
19-NOV-2018,32.85
16-NOV-2018,32.35
15-NOV-2018,32.85
14-NOV-2018,32.9
13-NOV-2018,32.95
12-NOV-2018,33.4
09-NOV-2018,33.35
07-NOV-2018,34.5
06-NOV-2018,34.75
05-NOV-2018,33.35
02-NOV-2018,34.65
01-NOV-2018,35.05
31-OCT-2018,34.8
30-OCT-2018,34.9
29-OCT-2018,35.35
26-OCT-2018,33.9
25-OCT-2018,34.95
24-OCT-2018,35.45
23-OCT-2018,35.5
22-OCT-2018,36.9
19-OCT-2018,38.2
17-OCT-2018,38.35
16-OCT-2018,39.75
15-OCT-2018,36.3
12-OCT-2018,35.3
11-OCT-2018,33.25
10-OCT-2018,34.95
09-OCT-2018,32.2
08-OCT-2018,30.7
05-OCT-2018,31.9
04-OCT-2018,33.0
03-OCT-2018,34.3
01-OCT-2018,32.7
28-SEP-2018,34.25
27-SEP-2018,36.0
26-SEP-2018,35.55
25-SEP-2018,36.85
24-SEP-2018,36.5
21-SEP-2018,38.35
19-SEP-2018,39.0
18-SEP-2018,40.0
17-SEP-2018,40.9
14-SEP-2018,41.2
12-SEP-2018,41.4
11-SEP-2018,41.5
10-SEP-2018,41.6
07-SEP-2018,42.3
06-SEP-2018,42.25
05-SEP-2018,40.25
04-SEP-2018,41.65
03-SEP-2018,42.3
31-AUG-2018,42.15
30-AUG-2018,43.0
29-AUG-2018,43.35
28-AUG-2018,43.15
27-AUG-2018,43.65
24-AUG-2018,42.55
23-AUG-2018,42.95
21-AUG-2018,44.45
20-AUG-2018,42.95
17-AUG-2018,42.1
16-AUG-2018,41.15
14-AUG-2018,43.3
13-AUG-2018,45.35
10-AUG-2018,47.55
09-AUG-2018,49.95
08-AUG-2018,49.85
07-AUG-2018,52.3
06-AUG-2018,51.3
03-AUG-2018,48.9
02-AUG-2018,46.75
01-AUG-2018,44.55
31-JUL-2018,42.45
30-JUL-2018,40.45
27-JUL-2018,40.2
26-JUL-2018,38.5
25-JUL-2018,39.65
