DATE,CLOSE
21-JAN-2020,22.55
20-JAN-2020,22.55
17-JAN-2020,22.35
16-JAN-2020,21.3
15-JAN-2020,21.8
14-JAN-2020,20.8
13-JAN-2020,20.65
10-JAN-2020,19.7
09-JAN-2020,20.1
08-JAN-2020,19.7
07-JAN-2020,19.7
06-JAN-2020,20.2
03-JAN-2020,20.65
02-JAN-2020,19.85
01-JAN-2020,18.95
31-DEC-2019,18.05
30-DEC-2019,18.4
27-DEC-2019,18.1
26-DEC-2019,18.0
24-DEC-2019,18.3
23-DEC-2019,18.75
20-DEC-2019,18.45
19-DEC-2019,18.2
18-DEC-2019,18.2
17-DEC-2019,18.6
16-DEC-2019,18.7
13-DEC-2019,18.65
12-DEC-2019,18.2
11-DEC-2019,18.7
10-DEC-2019,18.9
09-DEC-2019,18.85
06-DEC-2019,19.35
05-DEC-2019,19.4
04-DEC-2019,19.9
03-DEC-2019,19.85
02-DEC-2019,19.05
29-NOV-2019,19.85
28-NOV-2019,19.3
27-NOV-2019,20.05
26-NOV-2019,19.1
25-NOV-2019,19.8
22-NOV-2019,19.35
21-NOV-2019,19.15
20-NOV-2019,19.3
19-NOV-2019,19.15
18-NOV-2019,19.65
15-NOV-2019,19.75
14-NOV-2019,19.8
13-NOV-2019,20.5
11-NOV-2019,20.45
08-NOV-2019,20.25
07-NOV-2019,20.5
06-NOV-2019,20.7
05-NOV-2019,21.45
04-NOV-2019,22.55
01-NOV-2019,22.2
31-OCT-2019,20.75
30-OCT-2019,21.7
29-OCT-2019,19.8
27-OCT-2019,20.2
25-OCT-2019,19.45
24-OCT-2019,17.7
23-OCT-2019,17.6
22-OCT-2019,17.2
18-OCT-2019,17.1
17-OCT-2019,16.9
16-OCT-2019,17.45
15-OCT-2019,17.65
14-OCT-2019,18.7
11-OCT-2019,18.45
10-OCT-2019,17.4
09-OCT-2019,19.3
07-OCT-2019,19.3
04-OCT-2019,19.6
03-OCT-2019,20.25
01-OCT-2019,20.7
30-SEP-2019,20.9
27-SEP-2019,21.95
26-SEP-2019,23.05
25-SEP-2019,23.2
24-SEP-2019,24.15
23-SEP-2019,23.7
20-SEP-2019,22.9
19-SEP-2019,22.5
18-SEP-2019,23.65
17-SEP-2019,24.3
16-SEP-2019,25.45
13-SEP-2019,26.05
12-SEP-2019,24.95
11-SEP-2019,23.8
09-SEP-2019,22.7
06-SEP-2019,21.65
05-SEP-2019,22.15
04-SEP-2019,21.5
03-SEP-2019,21.6
30-AUG-2019,21.2
29-AUG-2019,20.9
28-AUG-2019,21.7
27-AUG-2019,21.9
26-AUG-2019,22.15
23-AUG-2019,21.3
22-AUG-2019,20.5
21-AUG-2019,21.55
20-AUG-2019,22.05
19-AUG-2019,22.6
16-AUG-2019,21.65
14-AUG-2019,21.1
13-AUG-2019,20.9
09-AUG-2019,20.45
08-AUG-2019,20.15
07-AUG-2019,20.55
06-AUG-2019,20.2
05-AUG-2019,19.6
02-AUG-2019,20.0
01-AUG-2019,20.25
31-JUL-2019,20.9
30-JUL-2019,20.85
29-JUL-2019,21.85
26-JUL-2019,22.7
25-JUL-2019,23.2
24-JUL-2019,23.2
23-JUL-2019,24.0
22-JUL-2019,23.9
19-JUL-2019,24.45
18-JUL-2019,24.95
17-JUL-2019,23.85
16-JUL-2019,22.75
15-JUL-2019,21.7
12-JUL-2019,20.75
11-JUL-2019,20.05
10-JUL-2019,19.9
09-JUL-2019,20.0
08-JUL-2019,20.65
05-JUL-2019,21.15
04-JUL-2019,21.4
03-JUL-2019,20.4
02-JUL-2019,19.45
01-JUL-2019,18.55
28-JUN-2019,19.5
27-JUN-2019,20.5
26-JUN-2019,21.55
25-JUN-2019,20.55
24-JUN-2019,21.6
21-JUN-2019,22.7
20-JUN-2019,23.85
19-JUN-2019,25.1
18-JUN-2019,26.4
17-JUN-2019,27.75
14-JUN-2019,29.2
13-JUN-2019,32.4
12-JUN-2019,36.0
11-JUN-2019,39.95
10-JUN-2019,49.9
07-JUN-2019,62.35
06-JUN-2019,63.5
04-JUN-2019,66.05
03-JUN-2019,66.55
31-MAY-2019,67.05
30-MAY-2019,67.0
29-MAY-2019,65.5
28-MAY-2019,66.6
27-MAY-2019,70.0
24-MAY-2019,63.8
23-MAY-2019,64.45
22-MAY-2019,64.3
21-MAY-2019,65.65
20-MAY-2019,65.25
17-MAY-2019,61.75
16-MAY-2019,62.15
15-MAY-2019,62.25
14-MAY-2019,62.45
13-MAY-2019,62.95
10-MAY-2019,64.05
09-MAY-2019,64.35
08-MAY-2019,65.0
07-MAY-2019,66.7
06-MAY-2019,67.4
03-MAY-2019,68.6
02-MAY-2019,68.7
30-APR-2019,70.1
26-APR-2019,69.05
25-APR-2019,69.4
24-APR-2019,68.85
23-APR-2019,69.0
22-APR-2019,69.0
18-APR-2019,71.05
16-APR-2019,72.1
15-APR-2019,67.75
12-APR-2019,67.8
11-APR-2019,67.35
10-APR-2019,67.25
09-APR-2019,68.05
08-APR-2019,67.25
05-APR-2019,68.05
04-APR-2019,66.15
03-APR-2019,66.45
02-APR-2019,66.8
01-APR-2019,67.75
29-MAR-2019,67.6
28-MAR-2019,67.45
27-MAR-2019,67.15
26-MAR-2019,67.8
25-MAR-2019,67.65
22-MAR-2019,66.15
20-MAR-2019,65.95
19-MAR-2019,65.35
18-MAR-2019,65.05
15-MAR-2019,65.55
14-MAR-2019,66.05
13-MAR-2019,66.1
12-MAR-2019,68.25
11-MAR-2019,68.65
08-MAR-2019,65.5
07-MAR-2019,65.1
06-MAR-2019,65.9
05-MAR-2019,64.7
01-MAR-2019,64.05
28-FEB-2019,62.4
27-FEB-2019,62.05
26-FEB-2019,62.7
25-FEB-2019,63.5
22-FEB-2019,62.5
21-FEB-2019,62.65
20-FEB-2019,62.3
19-FEB-2019,62.1
18-FEB-2019,61.2
15-FEB-2019,63.35
14-FEB-2019,65.85
13-FEB-2019,62.65
12-FEB-2019,63.65
11-FEB-2019,58.05
08-FEB-2019,59.4
07-FEB-2019,60.9
06-FEB-2019,59.5
05-FEB-2019,58.95
04-FEB-2019,60.2
01-FEB-2019,60.95
31-JAN-2019,60.95
30-JAN-2019,61.4
29-JAN-2019,61.35
28-JAN-2019,62.25
25-JAN-2019,62.8
24-JAN-2019,63.0
23-JAN-2019,64.5
22-JAN-2019,65.0
21-JAN-2019,64.75
18-JAN-2019,65.3
17-JAN-2019,66.5
16-JAN-2019,66.85
15-JAN-2019,66.4
14-JAN-2019,65.4
11-JAN-2019,65.2
10-JAN-2019,65.3
09-JAN-2019,66.45
08-JAN-2019,66.25
07-JAN-2019,67.35
04-JAN-2019,66.8
03-JAN-2019,67.5
02-JAN-2019,68.75
01-JAN-2019,69.6
31-DEC-2018,70.5
